IPower PE Ratio Historical Data,IPower PE Ratio Historical Data,IPower PE Ratio Historical Data,IPower PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.57,,1.0933538935354931e+17
2024-12-31,0.83,$0.00,0.0
2024-09-30,1.81,$-0.07,0.0
2024-06-30,2.08,$-0.05,0.0
2024-03-31,0.53,$-0.17,0.0
2023-12-31,0.45,$-0.25,0.0
2023-09-30,0.72,$-0.30,0.0
2023-06-30,1.1,$-0.40,0.0
2023-03-31,0.54,$-0.35,0.0
2022-12-31,0.4,$-0.26,0.0
2022-09-30,0.67,$-0.12,0.0
2022-06-30,1.09,$0.05,21.8
2022-03-31,1.68,$0.02,84.0
