Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.22,,15.74
2024-12-31,106.08,$6.24,17.0
2024-09-30,93.56,$5.53,16.92
2024-06-30,83.43,$4.71,17.71
2024-03-31,77.5,$4.40,17.61
2023-12-31,68.18,$4.28,15.93
2023-09-30,60.23,$4.33,13.91
2023-06-30,58.17,$5.02,11.59
2023-03-31,57.23,$5.21,10.99
2022-12-31,56.23,$5.32,10.57
2022-09-30,49.78,$6.01,8.28
2022-06-30,53.45,$6.34,8.43
2022-03-31,64.48,$6.65,9.7
2021-12-31,66.6,$6.66,10.0
2021-09-30,64.14,$6.09,10.53
2021-06-30,61.08,$5.52,11.06
2021-03-31,60.2,$4.85,12.41
2020-12-31,47.3,$4.16,11.36
2020-09-30,31.52,$3.69,8.53
2020-06-30,29.47,$3.61,8.16
2020-03-31,25.56,$3.56,7.18
2019-12-31,37.43,$3.66,10.23
2019-09-30,35.33,$3.50,10.09
2019-06-30,36.26,$3.44,10.54
2019-03-31,32.3,$3.26,9.91
2018-12-31,25.29,$3.15,8.02
2018-09-30,31.22,$2.19,14.23
2018-06-30,31.76,$1.89,16.83
2018-03-31,35.92,$1.61,22.27
2017-12-31,36.06,$1.43,25.27
2017-09-30,32.31,$1.67,19.31
2017-06-30,27.73,$1.29,21.55
2017-03-31,30.27,$0.95,31.75
2016-12-31,30.12,$0.67,44.73
2016-09-30,23.19,$0.56,41.41
2016-06-30,18.97,$0.57,33.47
2016-03-31,17.85,$0.66,27.05
2015-12-31,25.54,$0.79,32.2
2015-09-30,25.39,$1.09,23.36
2015-06-30,34.82,$1.29,27.06
2015-03-31,33.62,$1.49,22.51
2014-12-31,30.77,$1.54,19.98
2014-09-30,28.28,$1.58,17.9
2014-06-30,28.55,$1.85,15.41
2014-03-31,30.01,$1.73,17.31
2013-12-31,28.9,$1.45,19.88
2013-09-30,24.86,$1.45,17.18
2013-06-30,21.51,$1.23,17.54
2013-03-31,20.91,$1.24,16.86
2012-12-31,19.28,$1.47,13.14
2012-09-30,20.26,$1.33,15.2
2012-06-30,18.63,$1.17,15.97
2012-03-31,22.82,$0.92,24.8
2011-12-31,19.33,$0.89,21.8
2011-09-30,16.02,$1.03,15.54
2011-06-30,21.63,$-0.11,0.0
2011-03-31,28.86,$0.12,240.51
2010-12-31,24.94,$0.09,287.68
2010-09-30,18.61,$-0.03,0.0
2010-06-30,17.44,$1.18,14.81
2010-03-31,21.61,$1.14,18.99
2009-12-31,23.82,$1.03,23.05
