Israel Acquisitions PE Ratio Historical Data,Israel Acquisitions PE Ratio Historical Data,Israel Acquisitions PE Ratio Historical Data,Israel Acquisitions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.46,,inf
2024-09-30,11.2,0.0,0.0
2024-06-30,11.0,0.0,0.0
2024-03-31,10.79,0.0,0.0
2023-12-31,10.74,0.0,0.0
