Crexendo PE Ratio Historical Data,Crexendo PE Ratio Historical Data,Crexendo PE Ratio Historical Data,Crexendo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.46,,109.2
2024-12-31,5.23,$0.05,104.6
2024-09-30,4.64,$0.03,154.67
2024-06-30,3.15,$0.09,34.94
2024-03-31,4.81,$0.05,96.2
2023-12-31,4.85,$-0.02,0.0
2023-09-30,2.11,$-1.43,0.0
2023-06-30,1.76,$-1.52,0.0
2023-03-31,1.65,$-1.54,0.0
2022-12-31,1.89,$-1.53,0.0
2022-09-30,2.39,$-0.15,0.0
2022-06-30,3.08,$-0.13,0.0
2022-03-31,3.6,$-0.14,0.0
2021-12-31,4.95,$-0.13,0.0
2021-09-30,5.93,$0.27,21.96
2021-06-30,6.05,$0.29,20.86
2021-03-31,5.74,$0.37,15.52
2020-12-31,6.86,$0.42,16.33
2020-09-30,5.53,$0.06,92.23
2020-06-30,5.64,$0.07,80.61
2020-03-31,4.26,$0.06,70.94
2019-12-31,4.21,$0.07,60.1
2019-09-30,3.02,$0.06,50.32
2019-06-30,3.26,$0.03,108.56
2019-03-31,2.97,$0.01,296.97
2018-12-31,1.98,$-0.01,0.0
2018-09-30,2.08,$-0.01,0.0
2018-06-30,2.57,$-0.01,0.0
2018-03-31,2.77,$-0.03,0.0
2017-12-31,2.08,$-0.07,0.0
2017-09-30,1.63,$-0.11,0.0
2017-06-30,1.8,$-0.15,0.0
2017-03-31,1.46,$-0.19,0.0
2016-12-31,1.44,$-0.22,0.0
2016-09-30,1.39,$-0.28,0.0
2016-06-30,1.35,$-0.31,0.0
2016-03-31,1.38,$-0.33,0.0
2015-12-31,1.1,$-0.35,0.0
