TriSalus Life Sciences PE Ratio Historical Data,TriSalus Life Sciences PE Ratio Historical Data,TriSalus Life Sciences PE Ratio Historical Data,TriSalus Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.38,,0.0
2024-09-30,4.61,$-2.49,0.0
2024-06-30,5.52,$-2.50,0.0
2024-03-31,9.75,$-2.29,0.0
2023-12-31,8.45,$-1.69,0.0
2023-09-30,5.12,$-0.13,0.0
2023-06-30,10.48,0,0.0
2023-03-31,10.2,0,0.0
2022-12-31,10.03,0,0.0
2022-09-30,9.93,0,0.0
2022-06-30,9.85,0,0.0
2022-03-31,9.8,0,0.0
2021-12-31,9.88,0,0.0
