Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,253.36,,21.62
2024-12-31,253.56,$11.72,21.63
2024-09-30,262.07,$11.56,22.67
2024-06-30,235.61,$10.20,23.1
2024-03-31,265.24,$10.14,26.16
2023-12-31,257.58,$9.74,26.45
2023-09-30,226.47,$10.31,21.97
2023-06-30,244.52,$10.11,24.19
2023-03-31,236.71,$10.00,23.67
2022-12-31,213.04,$9.78,21.78
2022-09-30,173.67,$8.76,19.83
2022-06-30,173.97,$8.43,20.64
2022-03-31,198.54,$8.51,23.33
2021-12-31,232.68,$8.51,27.34
2021-09-30,193.85,$8.60,22.54
2021-06-30,208.54,$8.41,24.8
2021-03-31,205.58,$6.97,29.5
2020-12-31,188.26,$6.63,28.39
2020-09-30,177.4,$6.60,26.88
2020-06-30,159.61,$6.81,23.44
2020-03-31,128.92,$7.71,16.72
2019-12-31,161.73,$7.75,20.87
2019-09-30,140.06,$7.59,18.45
2019-06-30,134.05,$7.45,17.99
2019-03-31,126.73,$7.51,16.88
2018-12-31,111.09,$7.60,14.62
2018-09-30,122.75,$5.55,22.12
2018-06-30,119.67,$5.50,21.76
2018-03-31,134.56,$5.22,25.78
2017-12-31,142.59,$4.86,29.34
2017-09-30,125.86,$6.53,19.27
2017-06-30,121.21,$6.18,19.61
2017-03-31,111.58,$5.95,18.75
2016-12-31,102.65,$5.70,18.01
2016-09-30,99.92,$5.48,18.23
2016-06-30,86.38,$5.37,16.09
2016-03-31,84.49,$5.21,16.22
2015-12-31,76.03,$5.13,14.82
2015-09-30,67.13,$5.06,13.27
2015-06-30,74.35,$5.01,14.84
2015-03-31,78.28,$7.37,10.62
2014-12-31,75.93,$7.27,10.44
2014-09-30,67.35,$7.04,9.57
2014-06-30,69.46,$6.71,10.35
2014-03-31,64.21,$4.08,15.74
2013-12-31,66.04,$3.75,17.61
2013-09-30,59.6,$4.93,12.09
2013-06-30,53.76,$5.04,10.67
2013-03-31,47.1,$5.86,8.04
2012-12-31,46.71,$6.08,7.68
2012-09-30,45.39,$4.88,9.3
2012-06-30,40.11,$4.80,8.36
2012-03-31,43.02,$3.94,10.92
2011-12-31,34.96,$4.18,8.36
2011-09-30,30.89,$4.06,7.61
2011-06-30,41.6,$3.85,10.81
2011-03-31,39.32,$3.69,10.66
2010-12-31,38.84,$3.03,12.82
2010-09-30,33.99,$3.24,10.49
2010-06-30,29.62,$3.01,9.84
2010-03-31,33.74,$2.53,13.34
2009-12-31,33.97,$1.87,18.17
