Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,295.53,,31.11
2024-12-31,331.87,$9.50,34.93
2024-09-30,330.5,$9.40,35.16
2024-06-30,311.59,$9.09,34.28
2024-03-31,309.81,$8.47,36.58
2023-12-31,237.86,$8.02,29.66
2023-09-30,209.82,$7.47,28.09
2023-06-30,197.05,$6.77,29.11
2023-03-31,167.05,$6.41,26.06
2022-12-31,152.28,$6.15,24.76
2022-09-30,128.73,$5.72,22.5
2022-06-30,120.96,$5.77,20.96
2022-03-31,144.87,$5.53,26.2
2021-12-31,164.08,$5.34,30.73
2021-09-30,141.13,$5.15,27.4
2021-06-30,139.43,$4.69,29.73
2021-03-31,129.44,$3.56,36.36
2020-12-31,111.85,$3.49,32.05
2020-09-30,94.36,$3.40,27.75
2020-06-30,80.33,$3.73,21.54
2020-03-31,70.64,$5.10,13.85
2019-12-31,85.31,$5.26,16.22
2019-09-30,74.28,$5.63,13.19
2019-06-30,73.74,$5.14,14.35
2019-03-31,70.72,$5.03,14.06
2018-12-31,59.74,$4.90,12.19
2018-09-30,74.79,$4.87,15.36
2018-06-30,63.93,$7.06,9.06
2018-03-31,67.74,$6.82,9.93
2017-12-31,66.45,$6.68,9.95
2017-09-30,64.1,$6.37,10.06
2017-06-30,64.45,$4.38,14.71
2017-03-31,60.92,$4.30,14.17
2016-12-31,54.67,$4.22,12.95
2016-09-30,53.04,$4.25,12.48
2016-06-30,47.79,$4.06,11.77
2016-03-31,49.59,$4.13,12.01
2015-12-31,40.85,$4.24,9.63
2015-09-30,39.88,$4.32,9.23
2015-06-30,52.0,$4.62,11.25
2015-03-31,51.93,$3.84,13.52
2014-12-31,51.54,$3.77,13.67
2014-09-30,47.71,$3.54,13.48
2014-06-30,57.69,$3.35,17.22
2014-03-31,55.78,$4.03,13.84
2013-12-31,56.15,$3.90,14.4
2013-09-30,50.48,$3.36,15.02
2013-06-30,47.97,$3.31,14.49
2013-03-31,44.34,$3.39,13.08
2012-12-31,38.95,$3.51,11.1
2012-09-30,33.71,$4.12,8.18
2012-06-30,28.02,$4.17,6.72
2012-03-31,34.94,$4.02,8.69
2011-12-31,30.29,$3.94,7.69
2011-09-30,24.52,$3.69,6.65
2011-06-30,35.26,$3.40,10.37
2011-03-31,37.74,$3.10,12.19
2010-12-31,34.34,$2.72,12.62
2010-09-30,27.73,$2.53,10.96
2010-06-30,21.84,$2.32,9.43
2010-03-31,25.11,$1.74,14.47
2009-12-31,20.92,$1.13,18.51
