Annexon PE Ratio Historical Data,Annexon PE Ratio Historical Data,Annexon PE Ratio Historical Data,Annexon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.49,,0.0
2024-12-31,5.13,$-1.02,0.0
2024-09-30,5.92,$-1.05,0.0
2024-06-30,4.9,$-1.23,0.0
2024-03-31,7.17,$-1.47,0.0
2023-12-31,4.54,$-1.78,0.0
2023-09-30,2.36,$-1.90,0.0
2023-06-30,3.52,$-1.98,0.0
2023-03-31,3.85,$-2.47,0.0
2022-12-31,5.17,$-2.87,0.0
2022-09-30,6.18,$-3.36,0.0
2022-06-30,3.77,$-3.78,0.0
2022-03-31,2.73,$-3.64,0.0
2021-12-31,11.49,$-3.40,0.0
2021-09-30,18.61,$-3.04,0.0
2021-06-30,22.51,$-2.88,0.0
