First Savings Financial PE Ratio Historical Data,First Savings Financial PE Ratio Historical Data,First Savings Financial PE Ratio Historical Data,First Savings Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.23,,9.21
2024-12-31,26.56,$2.74,9.69
2024-09-30,23.69,$1.98,11.96
2024-06-30,17.59,$1.34,13.12
2024-03-31,16.41,$1.08,15.19
2023-12-31,16.31,$0.90,18.12
2023-09-30,14.16,$1.18,12.0
2023-06-30,12.63,$1.64,7.7
2023-03-31,15.17,$1.67,9.09
2022-12-31,18.7,$2.11,8.86
2022-09-30,21.36,$2.30,9.29
2022-06-30,22.13,$2.62,8.45
2022-03-31,22.56,$2.85,7.92
2021-12-31,24.14,$3.33,7.24
2021-09-30,25.35,$4.12,6.15
2021-06-30,22.11,$5.58,3.96
2021-03-31,20.19,$7.15,2.82
2020-12-31,19.5,$5.60,3.48
2020-09-30,16.26,$4.69,3.46
2020-06-30,12.92,$3.31,3.9
2020-03-31,11.57,$1.88,6.16
2019-12-31,19.85,$2.46,8.06
2019-09-30,18.66,$2.40,7.79
2019-06-30,17.66,$2.03,8.69
2019-03-31,15.87,$1.73,9.15
2018-12-31,15.2,$1.46,10.39
2018-09-30,19.93,$1.53,13.03
2018-06-30,21.41,$1.48,14.5
2018-03-31,20.2,$1.39,14.57
2017-12-31,16.54,$1.47,11.25
2017-09-30,15.45,$1.32,11.67
2017-06-30,15.23,$1.40,10.88
2017-03-31,14.02,$1.38,10.18
2016-12-31,13.49,$1.30,10.4
2016-09-30,10.34,$1.14,9.1
2016-06-30,9.84,$0.99,9.91
2016-03-31,9.65,$0.99,9.78
2015-12-31,10.3,$0.97,10.58
2015-09-30,9.58,$0.97,9.84
2015-06-30,8.35,$0.91,9.18
2015-03-31,8.09,$0.81,10.03
2014-12-31,7.31,$0.81,9.06
2014-09-30,6.92,$0.78,8.87
2014-06-30,6.67,$0.77,8.63
2014-03-31,6.45,$0.72,8.96
2013-12-31,6.25,$0.67,9.37
2013-09-30,6.12,$0.66,9.23
2013-06-30,6.32,$0.63,9.98
2013-03-31,5.86,$0.66,8.92
2012-12-31,5.23,$0.63,8.35
2012-09-30,5.13,$0.61,8.36
2012-06-30,4.64,$0.56,8.29
2012-03-31,4.5,$0.55,8.23
2011-12-31,4.45,$0.56,7.99
2011-09-30,4.08,$0.59,6.87
2011-06-30,4.21,$0.57,7.42
2011-03-31,4.01,$0.47,8.47
2010-12-31,3.89,$0.43,9.05
2010-09-30,3.44,$0.39,8.82
2010-06-30,3.42,$0.34,10.06
2010-03-31,3.29,$0.28,11.6
2009-12-31,2.75,$0.22,12.49
