West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,227.51,,34.01
2024-12-31,327.56,$6.69,48.96
2024-09-30,299.98,$6.74,44.51
2024-06-30,328.97,$7.03,46.8
2024-03-31,395.01,$7.58,52.11
2023-12-31,351.31,$7.88,44.58
2023-09-30,374.35,$7.41,50.52
2023-06-30,381.4,$6.86,55.6
2023-03-31,345.31,$7.28,47.43
2022-12-31,234.39,$7.72,30.36
2022-09-30,244.87,$8.29,29.54
2022-06-30,300.7,$9.01,33.37
2022-03-31,408.25,$9.00,45.36
2021-12-31,465.98,$8.70,53.56
2021-09-30,421.61,$8.06,52.31
2021-06-30,356.46,$6.84,52.11
2021-03-31,279.56,$5.58,50.1
2020-12-31,280.92,$4.58,61.34
2020-09-30,272.42,$4.13,65.96
2020-06-30,224.98,$3.79,59.36
2020-03-31,150.64,$3.46,43.54
2019-12-31,148.59,$3.20,46.43
2019-09-30,140.01,$3.05,45.91
2019-06-30,123.41,$3.03,40.73
2019-03-31,108.52,$2.90,37.42
2018-12-31,96.4,$2.75,35.05
2018-09-30,121.26,$2.06,58.86
2018-06-30,97.37,$2.00,48.69
2018-03-31,86.45,$1.76,49.12
2017-12-31,96.48,$1.99,48.48
2017-09-30,93.98,$2.51,37.44
2017-06-30,92.15,$2.34,39.38
2017-03-31,79.44,$2.43,32.69
2016-12-31,82.45,$1.92,42.94
2016-09-30,72.28,$1.85,39.07
2016-06-30,73.5,$1.37,53.65
2016-03-31,67.04,$1.15,58.29
2015-12-31,58.11,$1.30,44.7
2015-09-30,52.11,$1.28,40.71
2015-06-30,55.83,$1.69,33.03
2015-03-31,57.76,$1.83,31.56
2014-12-31,50.97,$1.76,28.96
2014-09-30,42.74,$1.66,25.75
2014-06-30,40.18,$1.60,25.11
2014-03-31,41.86,$1.51,27.73
2013-12-31,46.53,$1.58,29.45
2013-09-30,38.95,$1.55,25.13
2013-06-30,33.16,$1.40,23.77
2013-03-31,30.56,$1.19,25.68
2012-12-31,25.68,$1.15,22.42
2012-09-30,24.8,$1.12,22.24
2012-06-30,23.51,$1.15,20.53
2012-03-31,19.72,$1.21,16.36
2011-12-31,17.51,$1.08,16.21
2011-09-30,17.04,$0.90,18.93
2011-06-30,20.02,$0.91,22.0
2011-03-31,20.4,$0.94,21.82
2010-12-31,18.7,$0.94,19.89
2010-09-30,15.5,$1.15,13.54
2010-06-30,16.41,$1.14,14.39
2010-03-31,18.79,$1.12,16.86
2009-12-31,17.49,$1.06,16.5
