Richardson Electronics PE Ratio Historical Data,Richardson Electronics PE Ratio Historical Data,Richardson Electronics PE Ratio Historical Data,Richardson Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.46,,415.33
2024-11-30,14.08,$0.03,469.33
2024-08-31,11.8,$-0.05,0.0
2024-05-31,11.09,$-0.00,0.0
2024-02-29,8.66,$0.28,30.93
2023-11-30,12.75,$0.67,19.03
2023-08-31,12.26,$1.19,10.3
2023-05-31,16.08,$1.55,10.37
2023-02-28,20.25,$1.87,10.83
2022-11-30,24.5,$1.64,14.94
2022-08-31,15.59,$1.55,10.06
2022-05-31,13.37,$1.30,10.28
2022-02-28,11.2,$0.85,13.18
2021-11-30,10.41,$0.66,15.78
2021-08-31,8.34,$0.41,20.35
2021-05-31,8.0,$0.12,66.66
2021-02-28,5.82,$-0.12,0.0
2020-11-30,4.19,$-0.15,0.0
2020-08-31,4.12,$-0.25,0.0
2020-05-31,3.76,$-0.15,0.0
2020-02-29,3.94,$-0.55,0.0
2019-11-30,4.93,$-0.62,0.0
2019-08-31,5.03,$-0.59,0.0
2019-05-31,4.33,$-0.57,0.0
2019-02-28,6.29,$0.05,125.72
2018-11-30,6.01,$0.17,35.35
2018-08-31,7.5,$0.31,24.18
2018-05-31,8.03,$0.27,29.75
2018-02-28,6.58,$0.14,47.01
2017-11-30,5.48,$-0.01,0.0
2017-08-31,4.51,$-0.33,0.0
2017-05-31,4.82,$-0.55,0.0
2017-02-28,4.89,$-0.55,0.0
2016-11-30,4.72,$-0.67,0.0
2016-08-31,5.46,$-0.63,0.0
2016-05-31,3.99,$-0.50,0.0
2016-02-29,3.71,$-0.66,0.0
2015-11-30,4.22,$-0.58,0.0
2015-08-31,4.61,$-0.49,0.0
2015-05-31,6.36,$-0.40,0.0
2015-02-28,6.67,$-0.41,0.0
2014-11-30,7.34,$-0.30,0.0
2014-08-31,7.34,$-0.19,0.0
2014-05-31,7.29,$-0.04,0.0
2014-02-28,7.83,$0.13,60.21
2013-11-30,7.96,$0.20,39.78
2013-08-31,7.75,$0.19,40.79
2013-05-31,8.38,$0.09,93.15
2013-02-28,8.34,$0.26,32.08
2012-11-30,7.6,$0.31,24.51
2012-08-31,8.26,$0.33,25.04
2012-05-31,7.93,$0.48,16.53
2012-02-29,8.39,$3.92,2.14
2011-11-30,8.43,$4.28,1.97
2011-08-31,9.39,$4.64,2.02
2011-05-31,9.27,$4.92,1.88
2011-02-28,8.76,$1.68,5.22
2010-11-30,7.21,$1.50,4.8
2010-08-31,5.91,$1.27,4.65
2010-05-31,6.53,$0.91,7.17
2010-02-28,5.26,$-0.04,0.0
2009-11-30,3.97,$-0.95,0.0
