Chemung Financial Corp PE Ratio Historical Data,Chemung Financial Corp PE Ratio Historical Data,Chemung Financial Corp PE Ratio Historical Data,Chemung Financial Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.37,,13.27
2024-12-31,48.81,$3.72,13.12
2024-09-30,48.02,$4.52,10.62
2024-06-30,47.7,$4.94,9.66
2024-03-31,41.9,$5.22,8.03
2023-12-31,48.76,$5.28,9.24
2023-09-30,38.54,$6.06,6.36
2023-06-30,37.09,$5.82,6.37
2023-03-31,39.76,$6.21,6.4
2022-12-31,43.64,$6.13,7.12
2022-09-30,39.55,$5.93,6.67
2022-06-30,44.08,$5.98,7.37
2022-03-31,43.47,$5.71,7.61
2021-12-31,42.96,$5.64,7.62
2021-09-30,41.6,$5.37,7.75
2021-06-30,40.42,$5.14,7.86
2021-03-31,37.87,$4.89,7.74
2020-12-31,30.55,$4.01,7.62
2020-09-30,25.78,$3.77,6.84
2020-06-30,24.17,$2.98,8.11
2020-03-31,28.94,$2.80,10.33
2019-12-31,36.92,$3.21,11.5
2019-09-30,36.28,$3.52,10.31
2019-06-30,41.51,$4.55,9.12
2019-03-31,40.07,$4.05,9.89
2018-12-31,35.08,$4.05,8.66
2018-09-30,35.81,$2.42,14.8
2018-06-30,42.02,$1.75,24.01
2018-03-31,38.77,$1.85,20.96
2017-12-31,39.91,$1.55,25.75
2017-09-30,38.9,$2.62,14.85
2017-06-30,33.54,$2.44,13.75
2017-03-31,32.2,$2.32,13.88
2016-12-31,29.42,$2.27,12.96
2016-09-30,23.3,$2.10,11.09
2016-06-30,23.37,$2.04,11.46
2016-03-31,20.81,$2.09,9.96
2015-12-31,21.51,$2.00,10.75
2015-09-30,21.71,$2.59,8.38
2015-06-30,20.32,$2.55,7.97
2015-03-31,21.51,$2.41,8.92
2014-12-31,20.82,$2.37,8.79
2014-09-30,20.95,$1.65,12.7
2014-06-30,21.83,$1.64,13.31
2014-03-31,19.87,$1.80,11.04
2013-12-31,24.8,$1.88,13.19
2013-09-30,24.93,$2.02,12.34
2013-06-30,23.93,$2.16,11.08
2013-03-31,24.04,$2.12,11.34
2012-12-31,21.01,$2.38,8.83
2012-09-30,16.55,$2.56,6.46
2012-06-30,17.57,$1.95,9.01
2012-03-31,17.33,$1.42,12.2
2011-12-31,15.34,$0.64,23.96
2011-09-30,15.37,0,0.0
2011-06-30,15.15,0,0.0
2011-03-31,15.34,0,0.0
2010-12-31,14.57,0,0.0
2010-09-30,14.08,0,0.0
2010-06-30,12.81,0,0.0
2010-03-31,12.49,0,0.0
2009-12-31,12.62,0,0.0
