Sonder Holdings PE Ratio Historical Data,Sonder Holdings PE Ratio Historical Data,Sonder Holdings PE Ratio Historical Data,Sonder Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.27,,0.0
2024-09-30,4.68,$-28.53,0.0
2024-06-30,4.63,$-16.57,0.0
2024-03-31,2.96,$-23.71,0.0
2023-12-31,3.39,$-26.93,0.0
2023-09-30,8.21,$-22.86,0.0
2023-06-30,0.53,$-24.00,0.0
2023-03-31,0.76,$-23.80,0.0
2022-12-31,1.24,$-19.60,0.0
2022-09-30,1.66,$-194.20,0.0
2022-06-30,1.04,$-187.20,0.0
2022-03-31,4.75,$-183.20,0.0
2021-12-31,9.97,$-179.60,0.0
