MEI Pharma PE Ratio Historical Data,MEI Pharma PE Ratio Historical Data,MEI Pharma PE Ratio Historical Data,MEI Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.31,,0.0
2024-12-31,2.46,$-5.73,0.0
2024-09-30,2.85,$-6.99,0.0
2024-06-30,2.91,$2.67,1.09
2024-03-31,4.0,$3.92,1.02
2023-12-31,5.8,$2.97,1.95
2023-09-30,5.46,$6.23,0.88
2023-06-30,5.12,$-4.63,0.0
2023-03-31,3.56,$-5.52,0.0
2022-12-31,3.79,$-4.60,0.0
2022-09-30,6.02,$-8.00,0.0
2022-06-30,9.42,$-7.80,0.0
2022-03-31,9.38,$-7.60,0.0
2021-12-31,41.56,$-11.80,0.0
2021-09-30,42.96,$-13.20,0.0
2021-06-30,44.36,$-13.60,0.0
2021-03-31,53.38,$-14.80,0.0
2020-12-31,41.09,$-10.00,0.0
2020-09-30,48.56,$-12.00,0.0
2020-06-30,64.28,$-10.20,0.0
2020-03-31,25.06,$-6.00,0.0
2019-12-31,38.6,$-10.00,0.0
2019-09-30,26.15,$-7.80,0.0
2019-06-30,38.91,$-11.20,0.0
2019-03-31,47.78,$-19.20,0.0
2018-12-31,41.09,$-17.60,0.0
2018-09-30,67.08,$-17.80,0.0
2018-06-30,61.32,$-18.40,0.0
2018-03-31,32.22,$-13.60,0.0
2017-12-31,32.68,$-10.80,0.0
2017-09-30,41.71,$-1.20,0.0
2017-06-30,37.2,$1.20,31.0
2017-03-31,25.21,$0.20,126.07
2016-12-31,22.41,$-2.60,0.0
2016-09-30,27.39,$-12.00,0.0
2016-06-30,21.17,$-12.20,0.0
2016-03-31,19.61,$-12.20,0.0
2015-12-31,24.9,$-14.40,0.0
2015-09-30,24.44,$-11.40,0.0
2015-06-30,26.61,$-8.80,0.0
2015-03-31,27.86,$-13.40,0.0
2014-12-31,66.46,$-14.80,0.0
2014-09-30,107.39,$-21.20,0.0
2014-06-30,98.68,$-27.00,0.0
2014-03-31,173.23,$-22.80,0.0
2013-12-31,124.67,$-19.60,0.0
2013-09-30,175.1,$-23.20,0.0
2013-06-30,110.97,$-31.40,0.0
2013-03-31,134.32,$-41.80,0.0
2012-12-31,108.95,$-56.80,0.0
2012-09-30,43.05,$-62.40,0.0
2012-06-30,39.32,$-68.79,0.0
2012-03-31,70.97,$-77.39,0.0
2011-12-31,97.12,$-80.38,0.0
2011-09-30,138.21,$-98.38,0.0
2011-06-30,95.25,$-106.78,0.0
2011-03-31,147.55,$-123.58,0.0
2010-12-31,90.58,$-137.97,0.0
2010-09-30,109.26,$-106.78,0.0
2010-06-30,117.66,$-113.98,0.0
2010-03-31,471.59,$-158.37,0.0
2009-12-31,653.69,$-158.37,0.0
