Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,127.9,,20.53
2024-11-30,132.77,$6.23,21.31
2024-08-31,123.69,$6.02,20.55
2024-05-31,114.15,$6.59,17.32
2024-02-29,118.26,$6.27,18.86
2023-11-30,117.93,$6.26,18.84
2023-08-31,122.32,$6.55,18.68
2023-05-31,115.78,$6.43,18.01
2023-02-28,147.48,$7.18,20.54
2022-11-30,172.59,$6.87,25.12
2022-08-31,156.5,$5.94,26.35
2022-05-31,122.71,$4.85,25.3
2022-02-28,127.46,$4.18,30.49
2021-11-30,141.0,$3.94,35.79
2021-08-31,159.3,$3.87,41.16
2021-05-31,158.88,$4.69,33.88
2021-02-28,154.34,$4.01,38.49
2020-11-30,111.33,$3.44,32.36
2020-08-31,95.79,$3.56,26.91
2020-05-31,89.76,$2.35,38.2
2020-02-29,94.29,$1.69,55.79
2019-11-30,85.66,$0.86,99.61
2019-08-31,83.51,$0.20,417.53
2019-05-31,74.84,$0.52,143.92
2019-02-28,86.84,$1.21,71.77
2018-11-30,94.67,$1.69,56.02
2018-08-31,89.34,$1.88,47.52
2018-05-31,91.5,$2.01,45.52
2018-02-28,81.96,$2.07,39.6
2017-11-30,86.68,$2.38,36.42
2017-08-31,79.7,$2.16,36.9
2017-05-31,78.34,$2.30,34.06
2017-02-28,73.22,$2.18,33.59
2016-11-30,76.77,$1.34,57.29
2016-08-31,65.31,$1.88,34.74
2016-05-31,64.48,$0.87,74.12
2016-02-29,65.18,$1.07,60.92
2015-11-30,62.56,$2.19,28.56
2015-08-31,68.08,$2.19,31.09
2015-05-31,71.69,$3.36,21.34
2015-02-28,77.68,$3.54,21.94
2014-11-30,77.75,$3.83,20.3
2014-08-31,68.56,$4.00,17.14
2014-05-31,74.04,$3.92,18.89
2014-02-28,74.31,$4.65,15.98
2013-11-30,66.71,$5.11,13.05
2013-08-31,66.28,$5.47,12.12
2013-05-31,70.71,$5.34,13.24
2013-02-28,74.26,$4.80,15.47
2012-11-30,68.64,$4.30,15.96
2012-08-31,56.63,$3.38,16.76
2012-05-31,48.14,$3.16,15.23
2012-02-29,56.65,$2.89,19.6
2011-11-30,48.72,$2.78,17.53
2011-08-31,53.57,$2.89,18.54
2011-05-31,57.68,$2.91,19.82
2011-02-28,60.63,$2.21,27.44
2010-11-30,50.63,$1.79,28.29
2010-08-31,31.57,$1.98,15.95
2010-05-31,29.18,$1.67,17.47
2010-02-28,31.37,$1.59,19.73
2009-11-30,29.84,$1.13,26.41
