Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.43,,12.72
2024-12-31,12.29,$0.82,14.99
2024-09-30,12.43,$0.84,14.8
2024-06-30,10.51,$0.89,11.8
2024-03-31,11.11,$1.00,11.11
2023-12-31,11.51,$1.12,10.28
2023-09-30,8.3,$1.33,6.24
2023-06-30,7.79,$1.53,5.09
2023-03-31,8.93,$1.64,5.45
2022-12-31,11.53,$1.81,6.37
2022-09-30,11.25,$1.81,6.22
2022-06-30,12.21,$1.81,6.74
2022-03-31,14.05,$1.81,7.76
2021-12-31,12.74,$1.66,7.68
2021-09-30,12.4,$1.46,8.49
2021-06-30,12.05,$1.26,9.56
2021-03-31,12.68,$1.05,12.08
2020-12-31,9.08,$0.91,9.98
2020-09-30,6.2,$1.02,6.08
2020-06-30,7.42,$1.11,6.69
2020-03-31,6.51,$1.23,5.29
2019-12-31,11.66,$1.36,8.57
2019-09-30,11.14,$1.37,8.13
2019-06-30,10.6,$1.39,7.63
2019-03-31,9.96,$1.41,7.06
2018-12-31,8.94,$1.45,6.17
2018-09-30,12.07,$1.23,9.81
2018-06-30,13.2,$1.20,11.0
2018-03-31,13.37,$1.14,11.73
2017-12-31,13.32,$1.03,12.93
2017-09-30,12.83,$1.20,10.69
2017-06-30,13.41,$1.09,12.31
2017-03-31,13.7,$1.08,12.69
2016-12-31,15.56,$1.11,14.02
2016-09-30,12.26,$1.10,11.14
2016-06-30,10.45,$1.20,8.71
2016-03-31,10.56,$1.20,8.8
2015-12-31,11.89,$1.17,10.16
2015-09-30,10.31,$1.17,8.81
2015-06-30,10.07,$1.12,8.99
2015-03-31,9.79,$1.11,8.82
2014-12-31,9.66,$1.12,8.62
2014-09-30,9.73,$1.08,9.01
2014-06-30,10.56,$1.11,9.52
2014-03-31,11.3,$1.12,10.09
2013-12-31,10.88,$1.06,10.26
2013-09-30,8.97,$1.09,8.23
2013-06-30,9.23,$1.03,8.96
2013-03-31,8.44,$0.94,8.98
2012-12-31,7.45,$1.00,7.45
2012-09-30,8.08,$0.77,10.5
2012-06-30,6.98,$0.76,9.19
2012-03-31,7.14,$0.70,10.19
2011-12-31,6.06,$0.57,10.63
2011-09-30,3.89,$0.65,5.99
2011-06-30,5.21,$0.53,9.83
2011-03-31,6.17,$-0.06,0.0
2010-12-31,6.32,$-0.31,0.0
2010-09-30,4.52,$-0.48,0.0
2010-06-30,5.4,$-0.48,0.0
2010-03-31,5.62,$-0.30,0.0
2009-12-31,7.27,$-0.36,0.0
