Bitcoin Depot PE Ratio Historical Data,Bitcoin Depot PE Ratio Historical Data,Bitcoin Depot PE Ratio Historical Data,Bitcoin Depot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.38,,0.0
2024-09-30,1.58,$-0.93,0.0
2024-06-30,1.8,$-1.31,0.0
2024-03-31,1.9,$-1.87,0.0
2023-12-31,3.23,$-1.62,0.0
2023-09-30,2.63,$-1.12,0.0
2023-06-30,3.23,$-0.69,0.0
2023-03-31,10.35,0,0.0
