Ascent Industries PE Ratio Historical Data,Ascent Industries PE Ratio Historical Data,Ascent Industries PE Ratio Historical Data,Ascent Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.9,,0.0
2024-12-31,11.18,$-1.34,0.0
2024-09-30,9.7,$-0.17,0.0
2024-06-30,9.76,$-1.33,0.0
2024-03-31,10.19,$-2.68,0.0
2023-12-31,9.56,$-2.65,0.0
2023-09-30,8.87,$-3.71,0.0
2023-06-30,9.09,$-1.88,0.0
2023-03-31,9.15,$0.62,14.76
2022-12-31,8.67,$2.12,4.09
2022-09-30,14.01,$2.95,4.75
2022-06-30,14.06,$3.76,3.74
2022-03-31,16.05,$3.01,5.33
2021-12-31,16.43,$2.14,7.68
2021-09-30,10.99,$0.36,30.53
2021-06-30,9.99,$-1.67,0.0
2021-03-31,8.84,$-2.75,0.0
2020-12-31,7.8,$-3.00,0.0
2020-09-30,5.52,$-2.16,0.0
2020-06-30,7.48,$-1.11,0.0
2020-03-31,8.73,$-0.37,0.0
2019-12-31,12.91,$-0.34,0.0
2019-09-30,15.95,$-0.18,0.0
2019-06-30,15.62,$0.49,31.88
2019-03-31,15.2,$0.93,16.34
2018-12-31,16.59,$1.47,11.29
2018-09-30,22.5,$1.52,14.8
2018-06-30,19.65,$0.82,23.96
2018-03-31,14.38,$0.51,28.19
2017-12-31,13.2,$0.15,87.98
2017-09-30,12.2,$-0.13,0.0
2017-06-30,11.04,$-0.29,0.0
2017-03-31,11.96,$-0.58,0.0
2016-12-31,10.69,$-0.82,0.0
2016-09-30,9.28,$-2.69,0.0
2016-06-30,7.48,$-2.23,0.0
2016-03-31,7.73,$-1.76,0.0
2015-12-31,6.72,$-1.18,0.0
2015-09-30,8.49,$1.09,7.79
2015-06-30,12.86,$1.07,12.02
2015-03-31,13.53,$0.84,16.11
2014-12-31,16.53,$0.62,26.67
2014-09-30,16.03,$0.05,320.7
2014-06-30,15.13,$0.14,108.08
2014-03-31,13.23,$0.39,33.93
2013-12-31,14.15,$0.42,33.7
2013-09-30,14.86,$0.91,16.33
2013-06-30,14.09,$0.81,17.39
2013-03-31,12.7,$0.68,18.67
2012-12-31,12.98,$0.66,19.67
2012-09-30,12.29,$0.67,18.34
2012-06-30,10.14,$0.63,16.1
2012-03-31,11.7,$0.73,16.03
2011-12-31,9.15,$0.91,10.05
2011-09-30,9.56,$0.98,9.75
2011-06-30,11.79,$1.11,10.62
2011-03-31,11.18,$1.01,11.07
2010-12-31,10.53,$0.68,15.49
2010-09-30,7.2,$0.40,17.99
2010-06-30,7.11,$0.25,28.45
2010-03-31,6.88,$0.05,137.51
2009-12-31,7.73,$0.02,386.59
