"MASTERCRAFT BOAT HOLDINGS, INC PE Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC PE Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC PE Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.31,,0.0
2024-12-31,19.07,$-0.40,0.0
2024-09-30,18.21,$-0.23,0.0
2024-06-30,18.88,$0.44,42.91
2024-03-31,23.72,$2.22,10.68
2023-12-31,22.64,$3.27,6.92
2023-09-30,22.22,$4.04,5.5
2023-06-30,30.65,$3.91,7.84
2023-03-31,30.43,$3.24,9.39
2022-12-31,25.87,$3.10,8.35
2022-09-30,18.85,$2.80,6.73
2022-06-30,21.05,$3.12,6.75
2022-03-31,24.61,$3.36,7.32
2021-12-31,28.33,$3.16,8.97
2021-09-30,25.08,$3.01,8.33
2021-06-30,26.29,$2.97,8.85
2021-03-31,26.59,$1.95,13.64
2020-12-31,24.84,$-0.94,0.0
2020-09-30,17.49,$-1.23,0.0
2020-06-30,19.05,$-1.28,0.0
2020-03-31,7.3,$-1.67,0.0
2019-12-31,15.75,$0.97,16.24
2019-09-30,14.93,$1.14,13.09
2019-06-30,19.59,$1.13,17.34
2019-03-31,22.57,$2.37,9.52
2018-12-31,18.7,$2.30,8.13
2018-09-30,35.88,$2.19,16.38
2018-06-30,28.95,$2.12,13.66
2018-03-31,25.2,$1.76,14.32
2017-12-31,22.22,$1.27,17.5
2017-09-30,20.38,$1.06,19.23
2017-06-30,19.55,$1.06,18.44
2017-03-31,16.17,$0.98,16.5
2016-12-31,14.58,$1.12,13.02
2016-09-30,11.4,$1.00,11.4
2016-06-30,11.05,$0.54,20.46
