GrafTech PE Ratio Historical Data,GrafTech PE Ratio Historical Data,GrafTech PE Ratio Historical Data,GrafTech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.02,,0.0
2024-12-31,1.73,$-0.51,0.0
2024-09-30,1.32,$-1.17,0.0
2024-06-30,0.97,$-1.12,0.0
2024-03-31,1.38,$-1.09,0.0
2023-12-31,2.19,$-1.00,0.0
2023-09-30,3.83,$0.05,76.6
2023-06-30,5.04,$0.50,10.08
2023-03-31,4.85,$0.97,5.0
2022-12-31,4.74,$1.47,3.23
2022-09-30,4.28,$1.81,2.37
2022-06-30,7.02,$1.90,3.69
2022-03-31,9.54,$1.57,6.07
2021-12-31,11.72,$1.47,7.97
2021-09-30,10.21,$1.40,7.29
2021-06-30,11.49,$1.30,8.84
2021-03-31,12.08,$1.54,7.85
2020-12-31,10.52,$1.62,6.5
2020-09-30,6.74,$1.76,3.83
2020-06-30,7.86,$2.02,3.89
2020-03-31,7.98,$2.35,3.4
2019-12-31,11.3,$2.58,4.38
2019-09-30,12.37,$2.76,4.48
2019-06-30,11.04,$2.82,3.91
2019-03-31,12.18,$2.81,4.33
