Vera Bradley PE Ratio Historical Data,Vera Bradley PE Ratio Historical Data,Vera Bradley PE Ratio Historical Data,Vera Bradley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.44,,0.0
2025-01-31,3.74,$-0.53,0.0
2024-10-31,5.01,$-0.59,0.0
2024-07-31,6.88,$0.03,229.33
2024-04-30,6.59,$0.14,47.07
2024-01-31,7.68,$0.25,30.72
2023-10-31,7.32,$-0.60,0.0
2023-07-31,6.74,$-0.59,0.0
2023-04-30,5.24,$-1.84,0.0
2023-01-31,5.95,$-1.90,0.0
2022-10-31,3.25,$-0.84,0.0
2022-07-31,4.19,$-0.84,0.0
2022-04-30,6.15,$0.37,16.62
2022-01-31,8.19,$0.52,15.75
2021-10-31,9.81,$0.60,16.35
2021-07-31,11.01,$0.69,15.96
2021-04-30,11.1,$0.85,13.06
2021-01-31,8.45,$0.25,33.8
2020-10-31,6.34,$0.39,16.26
2020-07-31,4.39,$0.13,33.73
2020-04-30,5.51,$-0.12,0.0
2020-01-31,9.58,$0.47,20.38
2019-10-31,10.76,$0.35,30.74
2019-07-31,11.75,$0.47,25.0
2019-04-30,12.28,$0.56,21.93
2019-01-31,8.95,$0.59,15.17
2018-10-31,13.19,$0.58,22.74
2018-07-31,13.29,$0.47,28.28
2018-04-30,11.38,$0.27,42.15
2018-01-31,9.29,$0.20,46.45
2017-10-31,7.2,$0.05,144.0
2017-07-31,10.08,$0.28,36.0
2017-04-30,9.15,$0.36,25.42
2017-01-31,11.46,$0.53,21.62
2016-10-31,13.37,$0.85,15.73
2016-07-31,14.56,$0.88,16.55
2016-04-30,17.54,$0.89,19.71
2016-01-31,14.78,$0.73,20.25
2015-10-31,12.51,$0.75,16.68
2015-07-31,10.86,$0.65,16.71
2015-04-30,14.24,$0.69,20.64
2015-01-31,19.07,$0.95,20.07
2014-10-31,22.8,$1.00,22.8
2014-07-31,19.83,$1.20,16.53
2014-04-30,28.3,$1.38,20.51
2014-01-31,24.02,$1.45,16.57
2013-10-31,22.15,$1.59,13.93
2013-07-31,24.24,$1.66,14.6
2013-04-30,22.82,$1.62,14.09
2013-01-31,25.29,$1.70,14.88
2012-10-31,29.83,$1.58,18.88
2012-07-31,22.79,$1.46,15.61
2012-04-30,25.98,$1.47,17.67
2012-01-31,35.81,$1.44,24.87
2011-10-31,45.3,$1.29,35.12
2011-07-31,36.27,$1.14,31.82
