Rapt Therapeutics PE Ratio Historical Data,Rapt Therapeutics PE Ratio Historical Data,Rapt Therapeutics PE Ratio Historical Data,Rapt Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.2,,0.0
2024-12-31,1.58,$-3.11,0.0
2024-09-30,2.01,$-2.77,0.0
2024-06-30,3.05,$-3.12,0.0
2024-03-31,8.98,$-3.07,0.0
2023-12-31,24.85,$-3.04,0.0
2023-09-30,16.62,$-2.88,0.0
2023-06-30,18.7,$-2.69,0.0
2023-03-31,18.35,$-2.65,0.0
2022-12-31,19.8,$-2.58,0.0
2022-09-30,24.06,$-2.55,0.0
2022-06-30,18.25,$-2.55,0.0
2022-03-31,21.99,$-2.56,0.0
2021-12-31,36.73,$-2.53,0.0
2021-09-30,31.05,$-2.44,0.0
2021-06-30,31.79,$-2.41,0.0
2021-03-31,22.2,$-2.29,0.0
2020-12-31,19.75,$-2.19,0.0
2020-09-30,32.2,$-2.54,0.0
