Dada Nexus PE Ratio Historical Data,Dada Nexus PE Ratio Historical Data,Dada Nexus PE Ratio Historical Data,Dada Nexus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.86,,0.0
2024-09-30,1.9,$-1.11,0.0
2024-06-30,1.26,$-1.09,0.0
2024-03-31,2.05,$-1.28,0.0
2023-12-31,3.32,$-1.31,0.0
2023-09-30,4.45,$-0.83,0.0
2023-06-30,5.31,$-1.00,0.0
2023-03-31,8.47,$-1.07,0.0
2022-12-31,6.97,$-1.26,0.0
2022-09-30,4.73,$-1.44,0.0
2022-06-30,8.11,$-1.53,0.0
2022-03-31,9.13,$-1.54,0.0
2021-12-31,13.16,$-1.61,0.0
2021-09-30,20.04,$-1.59,0.0
2021-06-30,29.01,$-1.52,0.0
2021-03-31,27.14,$-1.82,0.0
