Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.99,,28.77
2025-01-31,211.37,$5.74,36.86
2024-10-31,134.13,$8.46,15.86
2024-07-31,154.07,$8.33,18.51
2024-04-30,142.27,$8.15,17.47
2024-01-31,95.56,$7.29,13.12
2023-10-31,73.91,$7.21,10.26
2023-07-31,67.82,$7.24,9.37
2023-04-30,58.8,$7.61,7.73
2023-01-31,65.08,$8.19,7.95
2022-10-31,59.33,$8.25,7.19
2022-07-31,68.73,$8.04,8.55
2022-04-30,61.75,$7.71,8.01
2022-01-31,75.56,$7.41,10.2
2021-10-31,86.98,$6.66,13.06
2021-07-31,70.77,$6.29,11.26
2021-04-30,79.36,$5.53,14.35
2021-01-31,59.71,$4.31,13.87
2020-10-31,42.07,$3.40,12.39
2020-07-31,39.96,$2.60,15.4
2020-04-30,28.21,$2.14,13.18
2020-01-31,31.69,$2.25,14.12
2019-10-31,30.01,$2.16,13.89
2019-07-31,29.75,$2.19,13.59
2019-04-30,25.33,$2.11,12.03
2019-01-31,23.91,$2.05,11.69
2018-10-31,25.87,$1.65,15.73
2018-07-31,25.29,$1.57,16.16
2018-04-30,20.53,$1.56,13.16
2018-01-31,21.81,$1.52,14.4
2017-10-31,21.81,$1.77,12.36
2017-07-31,19.48,$1.74,11.23
2017-04-30,22.48,$1.72,13.07
2017-01-31,19.91,$1.72,11.61
2016-10-31,18.94,$1.68,11.31
2016-07-31,21.99,$1.67,13.17
2016-04-30,23.74,$1.67,14.22
2016-01-31,20.74,$1.69,12.27
2015-10-31,29.41,$1.70,17.3
2015-07-31,33.6,$1.66,20.3
2015-04-30,29.06,$1.63,17.83
2015-01-31,30.78,$1.63,18.88
2014-10-31,25.47,$1.54,16.6
2014-07-31,26.14,$1.49,17.6
2014-04-30,24.37,$1.47,16.63
2014-01-31,21.04,$1.43,14.76
2013-10-31,20.12,$1.41,14.32
2013-07-31,22.45,$1.36,16.51
2013-04-30,20.37,$1.33,15.31
2013-01-31,16.6,$1.28,12.97
2012-10-31,17.35,$1.20,14.52
2012-07-31,12.98,$1.16,11.24
2012-04-30,14.36,$1.13,12.76
2012-01-31,13.23,$1.12,11.81
2011-10-31,13.76,$1.06,12.98
2011-07-31,13.51,$1.03,13.18
2011-04-30,15.77,$0.98,16.1
2011-01-31,11.65,$0.93,12.6
2010-10-31,11.66,$0.81,14.49
2010-07-31,9.58,$0.67,14.29
2010-04-30,10.27,$0.53,19.38
2010-01-31,6.74,$0.35,19.26
2009-10-31,6.63,$0.01,0.0
