Ball PE Ratio Historical Data,Ball PE Ratio Historical Data,Ball PE Ratio Historical Data,Ball PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.57,,4.07
2024-12-31,55.13,$12.66,4.35
2024-09-30,67.69,$13.26,5.11
2024-06-30,59.64,$13.25,4.5
2024-03-31,66.94,$13.29,5.04
2023-12-31,56.98,$2.24,25.44
2023-09-30,49.14,$1.92,25.59
2023-06-30,57.25,$2.52,22.72
2023-03-31,53.99,$1.42,38.02
2022-12-31,49.92,$2.23,22.39
2022-09-30,47.0,$2.96,15.88
2022-06-30,66.65,$2.26,29.49
2022-03-31,86.98,$3.42,25.43
2021-12-31,92.84,$2.65,35.03
2021-09-30,86.57,$2.43,35.63
2021-06-30,77.8,$2.61,29.81
2021-03-31,81.22,$2.28,35.62
2020-12-31,89.16,$1.75,50.95
2020-09-30,79.41,$1.55,51.23
2020-06-30,66.26,$1.10,60.24
2020-03-31,61.53,$1.40,43.95
2019-12-31,61.41,$1.67,36.77
2019-09-30,68.98,$1.63,42.32
2019-06-30,66.18,$1.53,43.26
2019-03-31,54.58,$1.29,42.31
2018-12-31,43.29,$1.30,33.3
2018-09-30,41.34,$1.38,29.95
2018-06-30,33.33,$1.34,24.87
2018-03-31,37.13,$1.28,29.0
2017-12-31,35.3,$1.12,31.52
2017-09-30,38.42,$0.64,60.03
2017-06-30,39.17,$0.51,76.8
2017-03-31,34.37,$1.50,22.91
2016-12-31,34.68,$0.86,40.33
2016-09-30,37.8,$1.02,37.24
2016-06-30,33.29,$1.18,28.33
2016-03-31,32.77,$0.47,69.72
2015-12-31,33.36,$1.00,33.53
2015-09-30,28.48,$1.07,26.62
2015-06-30,32.06,$1.43,22.42
2015-03-31,32.22,$1.40,23.02
2014-12-31,31.04,$1.65,18.81
2014-09-30,28.75,$1.81,15.93
2014-06-30,28.43,$1.68,16.97
2014-03-31,24.8,$1.46,17.05
2013-12-31,23.32,$1.37,17.09
2013-09-30,20.21,$1.14,17.81
2013-06-30,18.65,$1.11,16.8
2013-03-31,21.3,$1.24,17.25
2012-12-31,19.98,$1.28,15.67
2012-09-30,18.84,$1.32,14.33
2012-06-30,18.24,$1.35,13.56
2012-03-31,19.01,$1.33,14.34
2011-12-31,15.79,$1.32,12.01
2011-09-30,13.69,$1.34,10.21
2011-06-30,16.94,$1.57,10.79
2011-03-31,15.76,$1.34,11.8
2010-12-31,14.93,$1.28,11.66
2010-09-30,12.89,$1.23,10.46
2010-06-30,11.55,$0.88,13.12
2010-03-31,11.65,$1.05,11.14
2009-12-31,11.26,$1.02,11.07
