Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,329.87,,16.92
2024-12-31,339.48,$19.50,17.41
2024-09-30,288.0,$19.43,14.82
2024-06-30,258.12,$19.24,13.42
2024-03-31,290.58,$19.06,15.25
2023-12-31,281.41,$18.75,15.01
2023-09-30,246.83,$18.42,13.4
2023-06-30,277.2,$18.05,15.36
2023-03-31,236.01,$17.43,13.54
2022-12-31,216.98,$16.83,12.89
2022-09-30,189.91,$16.51,11.5
2022-06-30,184.7,$15.94,11.59
2022-03-31,191.36,$15.43,12.4
2021-12-31,199.22,$14.93,13.34
2021-09-30,192.01,$14.65,13.11
2021-06-30,204.16,$14.36,14.22
2021-03-31,209.8,$12.45,16.85
2020-12-31,154.63,$11.44,13.52
2020-09-30,131.99,$10.70,12.34
2020-06-30,123.37,$10.38,11.89
2020-03-31,96.15,$11.75,8.18
2019-12-31,148.67,$12.42,11.97
2019-09-30,136.47,$12.43,10.98
2019-06-30,143.49,$12.32,11.65
2019-03-31,134.77,$12.22,11.03
2018-12-31,124.37,$11.88,10.47
2018-09-30,156.26,$11.03,14.17
2018-06-30,136.14,$10.47,13.0
2018-03-31,124.3,$9.95,12.49
2017-12-31,146.06,$9.52,15.34
2017-09-30,124.22,$9.75,12.74
2017-06-30,131.1,$9.68,13.54
2017-03-31,139.35,$9.44,14.76
2016-12-31,140.92,$9.21,15.3
2016-09-30,124.5,$8.96,13.89
2016-06-30,128.78,$8.72,14.77
2016-03-31,127.63,$8.39,15.21
2015-12-31,138.78,$8.10,17.13
2015-09-30,121.76,$7.85,15.51
2015-06-30,128.04,$7.63,16.78
2015-03-31,117.84,$7.40,15.92
2014-12-31,109.17,$7.15,15.27
2014-09-30,96.29,$6.78,14.2
2014-06-30,93.93,$6.45,14.56
2014-03-31,89.59,$6.15,14.57
2013-12-31,86.12,$5.93,14.52
2013-09-30,77.91,$5.76,13.53
2013-06-30,69.71,$5.59,12.47
2013-03-31,64.23,$5.39,11.92
2012-12-31,61.05,$5.20,11.74
2012-09-30,55.26,$5.04,10.97
2012-06-30,47.64,$4.94,9.64
2012-03-31,46.39,$4.97,9.33
2011-12-31,38.3,$4.72,8.11
2011-09-30,33.38,$4.44,7.52
2011-06-30,46.66,$4.08,11.44
2011-03-31,44.61,$3.53,12.64
2010-12-31,41.8,$3.20,13.06
2010-09-30,34.15,$2.84,12.02
2010-06-30,29.82,$2.48,12.03
2010-03-31,31.39,$2.35,13.36
2009-12-31,30.39,$2.32,13.1
