Nano Dimension PE Ratio Historical Data,Nano Dimension PE Ratio Historical Data,Nano Dimension PE Ratio Historical Data,Nano Dimension PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.13,,0.0
2024-09-30,2.45,$-0.41,0.0
2024-06-30,2.2,$-0.62,0.0
2024-03-31,2.79,$-0.46,0.0
2023-12-31,2.4,$-0.22,0.0
2023-09-30,2.72,$-0.55,0.0
2023-06-30,2.89,$-0.55,0.0
2023-03-31,2.89,$-0.66,0.0
2022-12-31,2.3,$-0.88,0.0
2022-09-30,2.39,$-1.16,0.0
2022-06-30,3.14,$-0.97,0.0
2022-03-31,3.56,$-0.87,0.0
2021-12-31,3.8,$-0.79,0.0
2021-09-30,5.64,$-0.37,0.0
2021-06-30,8.24,$-0.75,0.0
2021-03-31,8.59,$-0.97,0.0
2020-12-31,9.1,$-1.24,0.0
2020-09-30,2.86,$-1.39,0.0
2020-06-30,2.2,$-1.04,0.0
2020-03-31,0.94,$-1.07,0.0
2019-12-31,2.53,$-1.55,0.0
2019-09-30,4.01,$-3.30,0.0
2019-06-30,4.8,$-5.10,0.0
2019-03-31,7.1,$-6.80,0.0
2018-12-31,11.1,$-8.70,0.0
2018-09-30,19.7,$-10.00,0.0
2018-06-30,21.0,$-11.10,0.0
2018-03-31,18.6,$-13.90,0.0
2017-12-31,30.7,$-15.70,0.0
2017-09-30,51.2,$-16.30,0.0
2017-06-30,61.1,$-15.80,0.0
2017-03-31,67.0,$-13.00,0.0
2016-12-31,59.5,$-11.00,0.0
