Epsilon Energy PE Ratio Historical Data,Epsilon Energy PE Ratio Historical Data,Epsilon Energy PE Ratio Historical Data,Epsilon Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.1,,54.62
2024-12-31,6.21,$0.13,47.77
2024-09-30,5.8,$0.25,23.19
2024-06-30,5.33,$0.25,21.3
2024-03-31,5.31,$0.23,23.07
2023-12-31,4.84,$0.31,15.63
2023-09-30,4.97,$0.60,8.29
2023-06-30,4.97,$0.99,5.02
2023-03-31,4.91,$1.41,3.48
2022-12-31,6.02,$1.50,4.02
2022-09-30,5.69,$1.42,4.01
2022-06-30,5.26,$1.07,4.91
2022-03-31,5.7,$0.61,9.34
2021-12-31,4.97,$0.48,10.35
2021-09-30,5.63,$0.21,26.82
2021-06-30,4.37,$0.14,31.23
2021-03-31,3.41,$0.14,24.33
2020-12-31,3.24,$0.04,81.11
2020-09-30,2.65,$0.06,44.16
2020-06-30,2.58,$0.12,21.5
2020-03-31,2.33,$0.28,8.34
2019-12-31,2.89,$0.32,9.02
