Beyond Air PE Ratio Historical Data,Beyond Air PE Ratio Historical Data,Beyond Air PE Ratio Historical Data,Beyond Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.36,$-1.06,0.0
2024-09-30,0.39,$-1.41,0.0
2024-06-30,0.54,$-1.64,0.0
2024-03-31,1.74,$-1.82,0.0
2023-12-31,1.96,$-2.13,0.0
2023-09-30,2.31,$-2.06,0.0
2023-06-30,4.26,$-1.95,0.0
2023-03-31,6.75,$-1.87,0.0
2022-12-31,6.49,$-1.93,0.0
2022-09-30,7.44,$-1.79,0.0
2022-06-30,6.69,$-1.75,0.0
2022-03-31,6.68,$-1.69,0.0
2021-12-31,9.44,$-1.20,0.0
2021-09-30,11.12,$-1.24,0.0
2021-06-30,6.48,$-1.18,0.0
2021-03-31,5.5,$-1.27,0.0
2020-12-31,5.27,$-1.39,0.0
2020-09-30,5.19,$-1.49,0.0
2020-06-30,7.25,$-1.57,0.0
2020-03-31,8.0,$-1.84,0.0
