HBT Financial PE Ratio Historical Data,HBT Financial PE Ratio Historical Data,HBT Financial PE Ratio Historical Data,HBT Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.37,,10.34
2024-12-31,21.9,$2.26,9.69
2024-09-30,21.68,$2.20,9.86
2024-06-30,20.05,$2.25,8.91
2024-03-31,18.51,$2.26,8.19
2023-12-31,20.32,$2.08,9.77
2023-09-30,17.41,$2.09,8.33
2023-06-30,17.45,$2.01,8.68
2023-03-31,18.48,$1.92,9.62
2022-12-31,18.2,$2.09,8.71
2022-09-30,16.76,$1.97,8.51
2022-06-30,16.35,$1.93,8.47
2022-03-31,16.48,$1.94,8.5
2021-12-31,16.84,$2.02,8.34
2021-09-30,13.87,$2.01,6.9
2021-06-30,15.39,$1.89,8.14
2021-03-31,15.01,$1.66,9.04
2020-12-31,13.16,$1.34,9.82
2020-09-30,9.63,$1.49,6.46
