Lee Enterprises PE Ratio Historical Data,Lee Enterprises PE Ratio Historical Data,Lee Enterprises PE Ratio Historical Data,Lee Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.99,,0.0
2024-12-31,14.78,$-7.28,0.0
2024-09-30,8.71,$-4.36,0.0
2024-06-30,11.11,$-2.99,0.0
2024-03-31,13.33,$-2.01,0.0
2023-12-31,7.87,$-0.96,0.0
2023-09-30,10.71,$-0.89,0.0
2023-06-30,13.35,$-1.66,0.0
2023-03-31,12.45,$-1.96,0.0
2022-12-31,18.56,$-2.21,0.0
2022-09-30,17.6,$-0.23,0.0
2022-06-30,18.99,$1.61,11.8
2022-03-31,26.92,$2.21,12.18
2021-12-31,34.54,$3.28,10.53
2021-09-30,22.64,$3.91,5.79
2021-06-30,28.3,$2.86,9.9
2021-03-31,25.69,$2.11,12.18
2020-12-31,12.6,$1.40,9.0
2020-09-30,8.39,$-0.50,0.0
2020-06-30,9.8,$-0.10,0.0
2020-03-31,9.83,$1.10,8.94
2019-12-31,14.2,$1.50,9.47
2019-09-30,20.4,$2.40,8.5
2019-06-30,22.4,$3.00,7.47
2019-03-31,33.0,$2.80,11.79
2018-12-31,21.1,$3.70,5.7
2018-09-30,26.5,$8.20,3.23
2018-06-30,28.5,$8.10,3.52
2018-03-31,19.5,$8.40,2.32
2017-12-31,23.5,$9.10,2.58
2017-09-30,22.0,$5.00,4.4
2017-06-30,19.0,$4.50,4.22
2017-03-31,26.0,$4.20,6.19
2016-12-31,29.0,$6.70,4.33
2016-09-30,37.5,$6.60,5.68
2016-06-30,19.1,$8.30,2.3
2016-03-31,18.0,$7.80,2.31
2015-12-31,16.8,$4.50,3.73
2015-09-30,20.8,$4.20,4.95
2015-06-30,33.3,$3.00,11.1
2015-03-31,31.7,$0.80,39.63
2014-12-31,36.8,$0.80,46.0
2014-09-30,33.8,$1.20,28.17
2014-06-30,44.5,$-16.50,0.0
2014-03-31,44.7,$-14.30,0.0
2013-12-31,34.7,$-15.80,0.0
2013-09-30,26.4,$-15.20,0.0
2013-06-30,20.4,$0.40,51.0
2013-03-31,12.7,$-0.20,0.0
2012-12-31,11.4,$-4.40,0.0
2012-09-30,14.8,$-4.00,0.0
2012-06-30,16.2,$-4.50,0.0
2012-03-31,12.8,$-38.80,0.0
2011-12-31,7.0,$-33.70,0.0
2011-09-30,7.8,$-32.70,0.0
2011-06-30,8.9,$-29.60,0.0
2011-03-31,27.0,$7.20,3.75
2010-12-31,24.6,$8.20,3.0
2010-09-30,26.8,$10.20,2.63
2010-06-30,25.7,$9.50,2.71
2010-03-31,33.9,$1.80,18.83
2009-12-31,34.7,$-10.50,0.0
