City Office REIT PE Ratio Historical Data,City Office REIT PE Ratio Historical Data,City Office REIT PE Ratio Historical Data,City Office REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.08,,0.0
2024-12-31,5.52,$-0.62,0.0
2024-09-30,5.74,$-0.42,0.0
2024-06-30,4.8,$-0.36,0.0
2024-03-31,4.91,$-0.28,0.0
2023-12-31,5.67,$-0.25,0.0
2023-09-30,3.84,$-0.50,0.0
2023-06-30,4.95,$-0.45,0.0
2023-03-31,5.95,$-0.37,0.0
2022-12-31,7.05,$0.17,41.45
2022-09-30,8.21,$10.29,0.8
2022-06-30,10.5,$10.27,1.02
2022-03-31,14.14,$10.25,1.38
2021-12-31,15.64,$10.81,1.45
2021-09-30,14.05,$1.02,13.77
2021-06-30,9.65,$1.06,9.11
2021-03-31,8.14,$1.03,7.9
2020-12-31,7.37,$-0.06,0.0
2020-09-30,5.56,$-0.01,0.0
2020-06-30,7.32,$-0.10,0.0
2020-03-31,5.15,$-0.09,0.0
2019-12-31,9.47,$-0.14,0.0
2019-09-30,9.9,$-0.38,0.0
2019-06-30,8.1,$-0.39,0.0
2019-03-31,7.48,$-0.44,0.0
2018-12-31,6.64,$0.87,7.64
2018-09-30,8.02,$1.00,8.02
2018-06-30,8.01,$0.96,8.35
2018-03-31,7.07,$1.30,5.44
2017-12-31,7.81,$-0.05,0.0
2017-09-30,8.13,$-0.17,0.0
2017-06-30,7.5,$-0.13,0.0
2017-03-31,7.04,$0.08,87.96
2016-12-31,7.48,$-0.37,0.0
2016-09-30,7.1,$-0.28,0.0
2016-06-30,7.11,$-0.40,0.0
2016-03-31,6.11,$-1.03,0.0
2015-12-31,6.41,$-0.53,0.0
2015-09-30,5.85,$-0.55,0.0
2015-06-30,6.39,$-0.57,0.0
2015-03-31,6.44,$-0.66,0.0
