17 Education & Technology Group PE Ratio Historical Data,17 Education & Technology Group PE Ratio Historical Data,17 Education & Technology Group PE Ratio Historical Data,17 Education & Technology Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.31,,0.0
2024-09-30,2.98,$-4.00,0.0
2024-06-30,2.14,$-4.50,0.0
2024-03-31,2.9,$-4.00,0.0
2023-12-31,2.07,$-4.50,0.0
2023-09-30,0.78,$-4.50,0.0
2023-06-30,0.92,$-4.00,0.0
2023-03-31,1.01,$-4.00,0.0
2022-12-31,2.04,$-3.00,0.0
2022-09-30,1.35,$-2.00,0.0
2022-06-30,1.97,$-9.00,0.0
2022-03-31,2.66,$-13.10,0.0
2021-12-31,1.25,$-23.20,0.0
2021-09-30,3.6,$-28.50,0.0
