Cyclerion Therapeutics PE Ratio Historical Data,Cyclerion Therapeutics PE Ratio Historical Data,Cyclerion Therapeutics PE Ratio Historical Data,Cyclerion Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.71,,0.0
2024-12-31,3.22,$-1.22,0.0
2024-09-30,2.59,$-1.44,0.0
2024-06-30,2.3,$1.57,1.46
2024-03-31,3.2,$0.27,11.85
2023-12-31,3.35,$-2.31,0.0
2023-09-30,3.42,$-5.51,0.0
2023-06-30,4.12,$-13.03,0.0
2023-03-31,8.68,$-17.40,0.0
2022-12-31,13.12,$-20.20,0.0
2022-09-30,17.2,$-21.80,0.0
2022-06-30,10.98,$-22.20,0.0
2022-03-31,22.2,$-25.00,0.0
2021-12-31,34.4,$-19.00,0.0
2021-09-30,61.4,$-25.20,0.0
2021-06-30,78.0,$-31.80,0.0
2021-03-31,55.8,$-36.80,0.0
2020-12-31,61.2,$-51.40,0.0
2020-09-30,121.6,$-59.40,0.0
2020-06-30,118.2,$-67.60,0.0
2020-03-31,53.0,$-77.20,0.0
