Zumiez PE Ratio Historical Data,Zumiez PE Ratio Historical Data,Zumiez PE Ratio Historical Data,Zumiez PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.16,,0.0
2025-01-31,15.96,$-0.84,0.0
2024-10-31,20.6,$-2.57,0.0
2024-07-31,25.42,$-2.75,0.0
2024-04-30,17.2,$-3.15,0.0
2024-01-31,17.17,$-3.25,0.0
2023-10-31,16.43,$-0.93,0.0
2023-07-31,18.86,$-0.45,0.0
2023-04-30,17.49,$0.15,116.57
2023-01-31,25.83,$1.09,23.7
2022-10-31,22.43,$2.20,10.2
2022-07-31,26.0,$3.09,8.41
2022-04-30,36.63,$3.87,9.47
2022-01-31,44.95,$4.92,9.14
2021-10-31,40.7,$4.90,8.31
2021-07-31,43.65,$4.81,9.07
2021-04-30,42.97,$4.88,8.81
2021-01-31,43.08,$3.01,14.31
2020-10-31,28.0,$2.81,9.96
2020-07-31,23.1,$2.40,9.63
2020-04-30,21.14,$1.75,12.08
2020-01-31,31.17,$2.62,11.9
2019-10-31,31.91,$2.32,13.75
2019-07-31,24.77,$2.12,11.68
2019-04-30,26.63,$1.93,13.8
2019-01-31,25.41,$1.80,14.12
2018-10-31,23.26,$1.42,16.38
2018-07-31,22.65,$1.35,16.78
2018-04-30,23.4,$1.16,20.17
2018-01-31,20.75,$1.08,19.21
2017-10-31,17.65,$1.02,17.3
2017-07-31,12.7,$0.97,13.09
2017-04-30,17.95,$0.96,18.7
2017-01-31,20.05,$1.06,18.92
2016-10-31,22.25,$0.82,27.13
2016-07-31,16.98,$0.75,22.64
2016-04-30,16.78,$0.89,18.85
2016-01-31,18.11,$1.06,17.08
2015-10-31,17.48,$1.16,15.07
2015-07-31,26.1,$1.34,19.48
2015-04-30,31.71,$1.49,21.28
2015-01-31,37.29,$1.49,25.03
2014-10-31,33.38,$1.78,18.75
2014-07-31,27.85,$1.63,17.09
2014-04-30,24.45,$1.53,15.98
2014-01-31,21.52,$1.52,14.16
2013-10-31,29.64,$1.37,21.64
2013-07-31,27.57,$1.38,19.98
2013-04-30,28.97,$1.29,22.46
2013-01-31,21.1,$1.35,15.63
2012-10-31,25.32,$1.21,20.93
2012-07-31,36.33,$1.26,28.83
2012-04-30,36.66,$1.27,28.87
2012-01-31,28.56,$1.19,24.0
2011-10-31,22.75,$1.08,21.06
2011-07-31,26.57,$1.03,25.8
2011-04-30,28.11,$0.95,29.59
2011-01-31,23.22,$0.83,27.98
2010-10-31,26.22,$0.63,41.62
2010-07-31,18.3,$0.40,45.75
2010-04-30,18.56,$0.30,61.87
2010-01-31,12.73,$0.30,42.43
2009-10-31,13.47,$0.22,61.23
