CaliberCos PE Ratio Historical Data,CaliberCos PE Ratio Historical Data,CaliberCos PE Ratio Historical Data,CaliberCos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.65,,0.0
2024-09-30,0.62,$-0.50,0.0
2024-06-30,0.84,$-0.67,0.0
2024-03-31,1.0,$-0.74,0.0
