Red Violet PE Ratio Historical Data,Red Violet PE Ratio Historical Data,Red Violet PE Ratio Historical Data,Red Violet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.59,,77.18
2024-12-31,36.2,$0.50,72.4
2024-09-30,28.45,$0.36,79.03
2024-06-30,25.4,$1.11,22.88
2024-03-31,19.55,$1.02,19.17
2023-12-31,19.97,$0.94,21.24
2023-09-30,20.01,$0.90,22.23
2023-06-30,20.57,$0.19,108.26
2023-03-31,17.6,$0.08,220.0
2022-12-31,23.02,$0.04,575.5
2022-09-30,17.32,$0.02,866.0
2022-06-30,19.04,$-0.05,0.0
2022-03-31,28.5,$0.09,316.67
2021-12-31,39.69,$0.03,1323.0
2021-09-30,25.81,$0.02,1290.5
2021-06-30,23.52,$-0.15,0.0
2021-03-31,18.42,$-0.50,0.0
2020-12-31,26.11,$-0.58,0.0
2020-09-30,18.46,$-0.87,0.0
2020-06-30,17.64,$-0.88,0.0
2020-03-31,18.0,$-1.03,0.0
2019-12-31,18.51,$-1.03,0.0
2019-09-30,12.61,$-0.79,0.0
2019-06-30,12.4,$-0.82,0.0
2019-03-31,6.72,$-0.60,0.0
2018-12-31,6.74,$-0.67,0.0
