Open Lending PE Ratio Historical Data,Open Lending PE Ratio Historical Data,Open Lending PE Ratio Historical Data,Open Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.08,,102.5
2024-09-30,6.12,$0.03,204.0
2024-06-30,5.58,$0.04,139.5
2024-03-31,6.26,$0.11,56.91
2023-12-31,8.51,$0.17,50.06
2023-09-30,7.32,$0.18,40.67
2023-06-30,10.51,$0.35,30.03
2023-03-31,7.04,$0.44,16.0
2022-12-31,6.75,$0.52,12.98
2022-09-30,8.04,$0.78,10.31
2022-06-30,10.23,$0.82,12.48
2022-03-31,18.91,$1.24,15.25
2021-12-31,22.48,$1.16,19.38
2021-09-30,36.07,$1.05,34.35
2021-06-30,43.09,$0.20,215.45
2021-03-31,35.42,$-1.41,0.0
2020-12-31,34.96,$-1.51,0.0
2020-09-30,25.5,$-1.63,0.0
2020-06-30,15.1,$-1.01,0.0
2020-03-31,10.15,$0.02,507.5
2019-12-31,10.54,$0.06,175.67
2019-09-30,10.2,$0.10,102.0
2019-06-30,10.09,$0.13,77.62
2019-03-31,9.99,$0.14,71.36
2018-12-31,9.75,$0.11,88.64
