ODDITY Tech PE Ratio Historical Data,ODDITY Tech PE Ratio Historical Data,ODDITY Tech PE Ratio Historical Data,ODDITY Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.24,,26.37
2024-12-31,42.02,$1.64,25.62
2024-09-30,40.38,$1.64,24.62
2024-06-30,39.26,$1.41,27.84
