Liquidity Services PE Ratio Historical Data,Liquidity Services PE Ratio Historical Data,Liquidity Services PE Ratio Historical Data,Liquidity Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.9,,41.2
2024-12-31,32.29,$0.75,43.05
2024-09-30,22.8,$0.63,36.19
2024-06-30,19.98,$0.63,31.71
2024-03-31,18.6,$0.65,28.62
2023-12-31,17.21,$0.60,28.68
2023-09-30,17.62,$0.66,26.7
2023-06-30,16.5,$0.71,23.24
2023-03-31,13.17,$1.00,13.17
2022-12-31,14.06,$1.22,11.52
2022-09-30,16.26,$1.20,13.55
2022-06-30,13.44,$1.88,7.15
2022-03-31,17.12,$1.62,10.57
2021-12-31,22.08,$1.42,15.55
2021-09-30,21.61,$1.45,14.9
2021-06-30,25.45,$0.68,37.43
2021-03-31,18.58,$0.45,41.29
2020-12-31,15.91,$0.17,93.59
2020-09-30,7.46,$-0.11,0.0
2020-06-30,5.96,$-0.43,0.0
2020-03-31,3.88,$-0.58,0.0
2019-12-31,5.96,$-0.58,0.0
2019-09-30,7.4,$-0.58,0.0
2019-06-30,6.09,$-0.45,0.0
2019-03-31,7.71,$-0.43,0.0
2018-12-31,6.17,$-0.48,0.0
2018-09-30,6.35,$-0.37,0.0
2018-06-30,6.55,$-0.78,0.0
2018-03-31,6.5,$-0.93,0.0
2017-12-31,4.85,$-1.01,0.0
2017-09-30,5.9,$-1.24,0.0
2017-06-30,6.35,$-2.55,0.0
2017-03-31,8.0,$-2.28,0.0
2016-12-31,9.75,$-2.05,0.0
2016-09-30,11.24,$-1.95,0.0
2016-06-30,7.84,$-1.66,0.0
2016-03-31,5.18,$-1.61,0.0
2015-12-31,6.5,$-1.53,0.0
2015-09-30,7.39,$-3.50,0.0
2015-06-30,9.63,$-2.06,0.0
2015-03-31,9.88,$-1.52,0.0
2014-12-31,8.17,$-1.40,0.0
2014-09-30,13.75,$0.96,14.32
2014-06-30,15.76,$1.30,12.12
2014-03-31,26.05,$1.06,24.58
2013-12-31,22.66,$1.28,17.7
2013-09-30,33.5,$1.26,26.59
2013-06-30,34.67,$1.11,31.23
2013-03-31,29.81,$1.21,24.64
2012-12-31,40.86,$1.39,29.4
2012-09-30,50.21,$1.47,34.16
2012-06-30,51.18,$1.40,36.56
2012-03-31,44.8,$0.91,49.23
2011-12-31,36.9,$0.52,70.96
2011-09-30,32.07,$0.29,110.59
2011-06-30,23.61,$0.28,84.32
2011-03-31,17.86,$0.43,41.53
2010-12-31,14.05,$0.38,36.97
2010-09-30,16.01,$0.44,36.39
2010-06-30,12.96,$0.37,35.03
2010-03-31,11.54,$0.38,30.37
2009-12-31,10.07,$0.31,32.48
