Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,103.58,,15.44
2024-12-31,128.7,$6.71,19.18
2024-09-30,162.21,$6.37,25.46
2024-06-30,152.85,$4.65,32.87
2024-03-31,146.93,$4.60,31.94
2023-12-31,126.17,$3.10,40.7
2023-09-30,107.39,$2.22,48.37
2023-06-30,109.26,$2.21,49.44
2023-03-31,90.35,$2.02,44.73
2022-12-31,101.38,$3.22,31.48
2022-09-30,89.21,$3.94,22.64
2022-06-30,86.9,$3.80,22.87
2022-03-31,84.03,$3.44,24.43
2021-12-31,80.65,$4.19,19.25
2021-09-30,75.17,$4.27,17.6
2021-06-30,80.32,$4.11,19.54
2021-03-31,75.62,$4.36,17.34
2020-12-31,81.51,$3.91,20.85
2020-09-30,77.31,$3.67,21.06
2020-06-30,72.21,$3.49,20.69
2020-03-31,63.46,$3.40,18.66
2019-12-31,65.5,$3.05,21.47
2019-09-30,65.15,$3.18,20.49
2019-06-30,60.55,$3.02,20.05
2019-03-31,52.98,$2.91,18.21
2018-12-31,40.89,$2.86,14.3
2018-09-30,44.87,$2.41,18.62
2018-06-30,39.38,$2.24,17.58
2018-03-31,34.72,$2.05,16.94
2017-12-31,34.02,$1.91,17.81
2017-09-30,33.2,$1.81,18.34
2017-06-30,28.75,$1.75,16.43
2017-03-31,31.13,$1.67,18.64
2016-12-31,31.57,$1.66,19.02
2016-09-30,27.54,$2.00,13.77
2016-06-30,25.69,$1.96,13.11
2016-03-31,26.11,$1.94,13.46
2015-12-31,26.45,$1.80,14.7
2015-09-30,22.38,$1.44,15.54
2015-06-30,21.44,$1.49,14.39
2015-03-31,24.46,$1.53,15.99
2014-12-31,22.32,$1.54,14.49
2014-09-30,19.6,$1.50,13.07
2014-06-30,16.9,$1.53,11.05
2014-03-31,17.42,$1.54,11.31
2013-12-31,14.3,$1.61,8.88
2013-09-30,13.58,$1.68,8.08
2013-06-30,12.16,$1.50,8.1
2013-03-31,9.35,$1.45,6.45
2012-12-31,9.62,$1.44,6.68
2012-09-30,9.51,$1.50,6.34
2012-06-30,6.78,$1.76,3.85
2012-03-31,6.85,$1.70,4.03
2011-12-31,6.91,$1.47,4.7
2011-09-30,5.95,$1.21,4.92
