Sensus Healthcare PE Ratio Historical Data,Sensus Healthcare PE Ratio Historical Data,Sensus Healthcare PE Ratio Historical Data,Sensus Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.74,,11.85
2024-12-31,6.92,$0.40,17.3
2024-09-30,5.8,$0.57,10.18
2024-06-30,5.33,$0.41,13.0
2024-03-31,3.8,$0.29,13.1
2023-12-31,2.36,$0.03,78.67
2023-09-30,2.77,$-0.06,0.0
2023-06-30,3.15,$0.14,22.5
2023-03-31,5.21,$0.37,14.08
2022-12-31,7.42,$1.46,5.08
2022-09-30,12.53,$1.61,7.78
2022-06-30,7.68,$1.51,5.09
2022-03-31,10.12,$1.28,7.91
2021-12-31,7.22,$0.24,30.08
2021-09-30,3.6,$-0.02,0.0
2021-06-30,3.85,$-0.13,0.0
2021-03-31,3.83,$-0.27,0.0
2020-12-31,3.86,$-0.42,0.0
2020-09-30,2.52,$-0.42,0.0
2020-06-30,3.06,$-0.36,0.0
2020-03-31,2.5,$-0.19,0.0
2019-12-31,3.54,$-0.10,0.0
2019-09-30,6.0,$-0.15,0.0
2019-06-30,5.54,$-0.14,0.0
2019-03-31,7.02,$-0.19,0.0
2018-12-31,7.41,$-0.14,0.0
2018-09-30,8.38,$-0.18,0.0
2018-06-30,7.26,$-0.22,0.0
2018-03-31,5.84,$-0.24,0.0
2017-12-31,5.16,$-0.28,0.0
2017-09-30,4.98,$-0.25,0.0
2017-06-30,4.02,$-0.18,0.0
