SpartanNash PE Ratio Historical Data,SpartanNash PE Ratio Historical Data,SpartanNash PE Ratio Historical Data,SpartanNash PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.11,,0.0
2024-12-31,18.32,$-0.01,0.0
2024-09-30,22.16,$1.33,16.66
2024-06-30,18.36,$1.33,13.81
2024-03-31,19.55,$1.55,12.61
2023-12-31,21.96,$1.50,14.64
2023-09-30,20.86,$1.22,17.1
2023-06-30,21.13,$1.16,18.22
2023-03-31,23.05,$0.74,31.15
2022-12-31,27.86,$0.95,29.33
2022-09-30,26.57,$1.55,17.14
2022-06-30,27.42,$1.71,16.04
2022-03-31,29.79,$2.04,14.6
2021-12-31,23.1,$2.05,11.27
2021-09-30,19.48,$1.77,11.0
2021-06-30,17.01,$1.91,8.91
2021-03-31,17.12,$2.24,7.64
2020-12-31,15.04,$2.13,7.06
2020-09-30,13.98,$1.94,7.21
2020-06-30,17.97,$1.37,13.12
2020-03-31,11.99,$0.38,31.55
2019-12-31,11.72,$0.16,73.25
2019-09-30,9.61,$-0.38,0.0
2019-06-30,9.33,$0.12,77.73
2019-03-31,12.48,$0.80,15.6
2018-12-31,13.36,$0.93,14.36
2018-09-30,15.44,$2.26,6.83
2018-06-30,19.46,$-1.55,0.0
2018-03-31,13.04,$-1.48,0.0
2017-12-31,20.01,$-1.42,0.0
2017-09-30,19.65,$-2.02,0.0
2017-06-30,19.22,$1.74,11.04
2017-03-31,25.76,$1.65,15.61
2016-12-31,28.96,$1.51,19.18
2016-09-30,21.1,$1.61,13.11
2016-06-30,22.2,$1.58,14.05
2016-03-31,21.89,$1.65,13.27
2015-12-31,15.55,$1.66,9.37
2015-09-30,18.46,$1.54,11.99
2015-06-30,23.12,$1.58,14.63
2015-03-31,22.33,$1.50,14.88
2014-12-31,18.41,$1.56,11.8
2014-09-30,13.63,$0.74,18.42
2014-06-30,14.64,$0.75,19.52
2014-03-31,16.09,$0.50,32.17
2013-12-31,16.74,$0.52,32.19
2013-09-30,15.15,$1.18,12.84
2013-06-30,12.61,$1.19,10.6
2013-03-31,11.94,$1.25,9.55
2012-12-31,10.4,$0.90,11.56
2012-09-30,10.32,$0.96,10.75
2012-06-30,12.15,$0.94,12.93
2012-03-31,12.09,$0.93,13.0
2011-12-31,12.3,$0.93,13.22
2011-09-30,10.25,$1.03,9.95
2011-06-30,12.88,$1.08,11.92
2011-03-31,9.72,$1.08,9.0
2010-12-31,11.1,$1.08,10.28
2010-09-30,9.47,$0.98,9.66
2010-06-30,8.92,$0.94,9.49
2010-03-31,9.35,$0.99,9.44
2009-12-31,9.23,$0.99,9.32
