Luminar Technologies PE Ratio Historical Data,Luminar Technologies PE Ratio Historical Data,Luminar Technologies PE Ratio Historical Data,Luminar Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.28,,0.0
2024-09-30,13.5,$-13.34,0.0
2024-06-30,22.35,$-19.34,0.0
2024-03-31,29.55,$-20.54,0.0
2023-12-31,50.55,$-22.04,0.0
2023-09-30,68.25,$-22.64,0.0
2023-06-30,103.2,$-22.49,0.0
2023-03-31,97.35,$-20.99,0.0
2022-12-31,74.25,$-18.74,0.0
2022-09-30,109.28,$-15.89,0.0
2022-06-30,88.95,$-13.19,0.0
2022-03-31,234.45,$-10.79,0.0
2021-12-31,253.65,$-10.49,0.0
2021-09-30,234.0,$-7.35,0.0
2021-06-30,329.25,$-5.10,0.0
2021-03-31,364.65,$-3.45,0.0
2020-12-31,510.0,$0.30,1700.57
2020-09-30,171.3,$0.30,571.19
2020-06-30,160.35,$0.90,178.25
2020-03-31,152.4,$1.65,92.41
2019-12-31,153.0,$1.95,78.5
