Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data,Banco Bradesco SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.21,,7.62
2024-09-30,2.62,$0.29,9.02
2024-06-30,2.19,$0.20,10.97
2024-03-31,2.7,$0.20,13.5
2023-09-30,2.57,$0.25,10.3
2023-06-30,3.11,$0.30,10.41
2023-03-31,2.32,$0.40,5.82
2022-03-31,3.51,$0.40,8.87
2021-09-30,2.84,$0.34,8.32
2021-03-31,3.09,$0.38,8.24
2020-09-30,2.21,$0.42,5.27
2020-03-31,2.6,$0.48,5.45
2019-03-31,5.49,$0.51,10.78
2018-03-31,5.25,$0.50,10.44
2017-03-31,3.93,$0.50,7.93
2016-03-31,2.48,$0.52,4.8
2015-06-30,2.9,$0.56,5.16
2015-03-31,2.92,$0.58,5.0
2014-12-31,3.48,$0.59,5.89
2014-09-30,3.65,$0.57,6.38
2014-06-30,3.71,$0.56,6.67
2014-03-31,3.47,$0.52,6.65
2013-12-31,3.14,$0.51,6.12
2013-09-30,3.43,$0.52,6.6
2013-06-30,3.21,$0.52,6.14
2013-03-31,4.16,$0.53,7.81
2012-12-31,3.85,$0.53,7.19
2012-09-30,3.5,$0.54,6.45
2012-06-30,3.23,$0.56,5.73
2012-03-31,3.77,$0.60,6.29
2011-12-31,3.58,$0.62,5.77
2011-09-30,3.1,$0.63,4.91
2011-06-30,4.29,$0.62,6.95
2011-03-31,4.31,$0.58,7.47
2010-12-31,4.18,$0.53,7.93
2010-09-30,4.13,$0.49,8.46
2010-06-30,2.92,$0.45,6.5
2010-03-31,3.36,$0.44,7.68
2009-12-31,3.62,$0.40,9.08
