U.S Energy PE Ratio Historical Data,U.S Energy PE Ratio Historical Data,U.S Energy PE Ratio Historical Data,U.S Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.41,,0.0
2024-12-31,1.63,$-0.54,0.0
2024-09-30,1.15,$-1.32,0.0
2024-06-30,1.02,$-1.59,0.0
2024-03-31,1.08,$-1.61,0.0
2023-12-31,1.0,$-1.28,0.0
2023-09-30,1.35,$-0.57,0.0
2023-06-30,1.42,$-0.06,0.0
2023-03-31,1.73,$0.04,43.28
2022-12-31,2.24,$-0.05,0.0
2022-09-30,2.82,$-0.30,0.0
2022-06-30,3.32,$-0.44,0.0
2022-03-31,4.16,$-0.48,0.0
2021-12-31,3.12,$-0.38,0.0
2021-09-30,4.38,$-0.06,0.0
2021-06-30,4.53,$-1.38,0.0
2021-03-31,4.18,$-4.02,0.0
2020-12-31,3.52,$-4.28,0.0
2020-09-30,4.78,$-4.28,0.0
2020-06-30,4.95,$-3.28,0.0
2020-03-31,2.96,$-0.70,0.0
2019-12-31,2.89,$-0.50,0.0
2019-09-30,4.87,$-0.50,0.0
2019-06-30,4.39,$0.10,43.95
2019-03-31,7.45,$-0.80,0.0
2018-12-31,6.4,$-1.00,0.0
2018-09-30,9.75,$-0.80,0.0
2018-06-30,12.61,$-1.80,0.0
2018-03-31,11.73,$-0.30,0.0
2017-12-31,14.33,$-1.40,0.0
2017-09-30,7.36,$-1.60,0.0
2017-06-30,6.5,$-0.90,0.0
2017-03-31,8.51,$-10.40,0.0
2016-12-31,12.23,$-9.00,0.0
2016-09-30,16.72,$-9.00,0.0
2016-06-30,16.24,$-59.39,0.0
2016-03-31,20.06,$-63.59,0.0
2015-12-31,9.32,$-114.58,0.0
2015-09-30,28.09,$-119.38,0.0
2015-06-30,30.32,$-68.99,0.0
2015-03-31,64.78,$-55.79,0.0
2014-12-31,84.84,$-4.20,0.0
2014-09-30,182.87,$-1.80,0.0
2014-06-30,248.22,$-3.60,0.0
2014-03-31,272.87,$-2.40,0.0
2013-12-31,215.54,$-15.60,0.0
2013-09-30,120.96,$-30.59,0.0
2013-06-30,118.66,$-32.99,0.0
2013-03-31,95.16,$-36.59,0.0
2012-12-31,85.99,$-24.60,0.0
2012-09-30,123.25,$-13.80,0.0
2012-06-30,135.29,$-9.00,0.0
2012-03-31,181.15,$-6.60,0.0
2011-12-31,166.82,$-10.80,0.0
2011-09-30,132.42,$-8.40,0.0
2011-06-30,244.78,$-9.60,0.0
2011-03-31,358.85,$-9.60,0.0
2010-12-31,348.53,$-1.80,0.0
2010-09-30,260.25,$-0.60,0.0
2010-06-30,272.29,$-5.40,0.0
2010-03-31,341.66,$-13.20,0.0
2009-12-31,339.94,$-22.80,0.0
