Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.52,,13.48
2024-12-31,70.24,$5.38,13.06
2024-09-30,56.17,$4.81,11.68
2024-06-30,58.61,$4.87,12.03
2024-03-31,56.87,$4.79,11.87
2023-12-31,47.95,$4.82,9.95
2023-09-30,39.47,$4.63,8.52
2023-06-30,40.91,$4.00,10.23
2023-03-31,35.54,$3.49,10.18
2022-12-31,39.01,$3.14,12.42
2022-09-30,37.75,$3.85,9.8
2022-06-30,36.51,$4.17,8.75
2022-03-31,44.91,$4.81,9.34
2021-12-31,44.27,$4.98,8.89
2021-09-30,42.65,$4.24,10.06
2021-06-30,41.44,$3.49,11.88
2021-03-31,35.68,$1.45,24.6
2020-12-31,27.47,$0.41,67.01
2020-09-30,21.31,$0.37,57.59
2020-06-30,23.11,$0.87,26.56
2020-03-31,25.39,$2.83,8.97
2019-12-31,47.1,$4.02,11.72
2019-09-30,43.74,$4.63,9.45
2019-06-30,40.59,$4.84,8.39
2019-03-31,41.05,$4.52,9.08
2018-12-31,38.79,$4.44,8.74
2018-09-30,43.89,$4.39,10.0
2018-06-30,45.96,$4.10,11.21
2018-03-31,43.12,$4.19,10.29
2017-12-31,49.62,$4.07,12.19
2017-09-30,44.8,$3.87,11.58
2017-06-30,44.68,$4.06,11.01
2017-03-31,44.58,$4.00,11.14
2016-12-31,43.84,$3.99,10.99
2016-09-30,34.93,$4.06,8.6
2016-06-30,37.04,$4.08,9.08
2016-03-31,37.55,$4.10,9.16
2015-12-31,41.88,$4.15,10.09
2015-09-30,39.29,$4.14,9.49
2015-06-30,42.76,$4.11,10.4
2015-03-31,41.08,$4.09,10.04
2014-12-31,41.12,$4.10,10.03
2014-09-30,38.66,$4.08,9.48
2014-06-30,38.9,$4.05,9.61
2014-03-31,36.55,$4.02,9.09
2013-12-31,33.14,$3.89,8.52
2013-09-30,29.95,$3.80,7.88
2013-06-30,29.71,$3.69,8.05
2013-03-31,26.42,$3.53,7.48
2012-12-31,24.24,$3.36,7.21
2012-09-30,24.33,$3.18,7.65
2012-06-30,23.41,$3.02,7.75
2012-03-31,23.74,$2.90,8.19
2011-12-31,19.03,$2.82,6.75
2011-09-30,16.58,$2.70,6.14
2011-06-30,19.2,$2.58,7.44
2011-03-31,21.61,$2.43,8.89
2010-12-31,21.04,$2.21,9.52
2010-09-30,17.02,$1.68,10.13
2010-06-30,17.32,$1.64,10.56
2010-03-31,21.02,$1.66,12.66
2009-12-31,18.2,$1.77,10.28
