Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,134.83,,15.9
2024-12-31,122.59,$8.48,14.46
2024-09-30,134.01,$11.15,12.02
2024-06-30,154.52,$17.50,8.83
2024-03-31,168.26,$20.19,8.33
2023-12-31,127.17,$24.73,5.14
2023-09-30,137.47,$29.33,4.69
2023-06-30,112.88,$29.03,3.89
2023-03-31,133.14,$35.20,3.78
2022-12-31,120.11,$29.12,4.12
2022-09-30,100.44,$23.43,4.29
2022-06-30,99.0,$17.37,5.7
2022-03-31,93.82,$6.19,15.16
2021-12-31,68.63,$2.25,30.5
2021-09-30,63.63,$-1.09,0.0
2021-06-30,69.34,$-3.36,0.0
2021-03-31,62.83,$-0.68,0.0
2020-12-31,48.9,$-3.49,0.0
2020-09-30,36.78,$-0.03,0.0
2020-06-30,49.05,$2.59,18.94
2020-03-31,37.21,$0.99,37.59
2019-12-31,75.94,$5.87,12.94
2019-09-30,68.49,$5.53,12.39
2019-06-30,67.98,$6.06,11.22
2019-03-31,66.64,$6.55,10.17
2018-12-31,58.25,$7.30,7.98
2018-09-30,87.52,$10.48,8.35
2018-06-30,84.68,$10.38,8.16
2018-03-31,70.4,$9.65,7.29
2017-12-31,69.12,$9.24,7.48
2017-09-30,57.37,$4.63,12.39
2017-06-30,49.79,$4.05,12.29
2017-03-31,48.41,$4.55,10.64
2016-12-31,49.38,$4.92,10.04
2016-09-30,37.95,$4.73,8.02
2016-06-30,36.1,$6.19,5.83
2016-03-31,44.91,$7.12,6.31
2015-12-31,48.99,$7.94,6.17
2015-09-30,41.35,$9.54,4.33
2015-06-30,42.81,$8.75,4.89
2015-03-31,43.21,$7.19,6.01
2014-12-31,33.38,$6.86,4.87
2014-09-30,31.03,$7.02,4.42
2014-06-30,33.42,$5.59,5.98
2014-03-31,35.26,$5.34,6.6
2013-12-31,33.3,$4.98,6.69
2013-09-30,22.45,$4.42,5.08
2013-06-30,22.72,$5.06,4.49
2013-03-31,27.12,$5.71,4.75
2012-12-31,20.25,$3.75,5.4
2012-09-30,18.7,$2.01,9.3
2012-06-30,14.16,$2.91,4.87
2012-03-31,15.01,$2.71,5.54
2011-12-31,12.19,$3.66,3.33
2011-09-30,10.23,$2.81,3.64
2011-06-30,14.68,$1.21,12.13
2011-03-31,17.09,$0.94,18.18
2010-12-31,13.23,$0.57,23.2
2010-09-30,9.99,$-1.16,0.0
2010-06-30,10.23,$-2.79,0.0
2010-03-31,11.18,$-4.30,0.0
2009-12-31,9.48,$-3.51,0.0
