BlackSky Technology PE Ratio Historical Data,BlackSky Technology PE Ratio Historical Data,BlackSky Technology PE Ratio Historical Data,BlackSky Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.76,,0.0
2024-09-30,4.74,$-2.26,0.0
2024-06-30,8.56,$-1.60,0.0
2024-03-31,10.88,$-3.04,0.0
2023-12-31,11.2,$-3.28,0.0
2023-09-30,9.36,$-4.08,0.0
2023-06-30,17.76,$-4.96,0.0
2023-03-31,12.0,$-4.80,0.0
2022-12-31,12.32,$-5.04,0.0
2022-09-30,12.0,$-4.00,0.0
2022-06-30,18.48,$-8.48,0.0
2022-03-31,15.12,$-6.72,0.0
2021-12-31,35.92,$-5.36,0.0
2021-09-30,82.8,$-5.36,0.0
2021-06-30,79.92,0,0.0
2021-03-31,82.56,0,0.0
2020-12-31,83.76,0,0.0
2020-09-30,81.52,0,0.0
