Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.16,,21.06
2024-12-31,11.56,$0.53,21.81
2024-09-30,10.97,$0.40,27.43
2024-06-30,8.64,$0.46,18.78
2024-03-31,9.43,$0.46,20.5
2023-12-31,13.18,$0.62,21.26
2023-09-30,9.34,$0.35,26.69
2023-06-30,11.09,$-0.21,0.0
2023-03-31,8.36,$-0.26,0.0
2022-12-31,5.56,$-0.38,0.0
2022-09-30,5.74,$-0.06,0.0
2022-06-30,7.8,$0.45,17.33
2022-03-31,7.56,$0.55,13.75
2021-12-31,7.49,$0.56,13.38
2021-09-30,8.97,$0.71,12.63
2021-06-30,9.07,$0.97,9.35
2021-03-31,10.58,$0.86,12.31
2020-12-31,7.3,$0.54,13.52
2020-09-30,6.42,$0.23,27.9
2020-06-30,7.7,$-0.02,0.0
2020-03-31,6.99,$-0.07,0.0
2019-12-31,11.04,$0.26,42.47
2019-09-30,10.41,$0.61,17.06
2019-06-30,10.0,$0.55,18.19
2019-03-31,8.71,$0.45,19.35
2018-12-31,8.33,$0.49,17.0
2018-09-30,8.36,$0.24,34.83
2018-06-30,7.93,$0.31,25.58
2018-03-31,7.32,$0.54,13.56
2017-12-31,7.7,$0.52,14.81
2017-09-30,8.61,$0.69,12.47
2017-06-30,6.92,$0.67,10.33
2017-03-31,7.18,$0.64,11.22
2016-12-31,8.29,$0.66,12.55
2016-09-30,7.79,$-0.41,0.0
2016-06-30,6.58,$-0.62,0.0
2016-03-31,5.14,$-0.70,0.0
2015-12-31,4.26,$-0.80,0.0
2015-09-30,4.64,$0.20,23.2
2015-06-30,6.25,$0.40,15.62
2015-03-31,6.14,$0.51,12.04
2014-12-31,6.91,$0.57,12.12
2014-09-30,6.19,$0.70,8.84
2014-06-30,6.42,$0.75,8.56
2014-03-31,7.36,$0.87,8.46
2013-12-31,6.02,$0.93,6.48
2013-09-30,5.71,$1.06,5.39
2013-06-30,3.91,$1.15,3.4
2013-03-31,4.06,$1.03,3.94
2012-12-31,4.29,$0.97,4.43
2012-09-30,3.24,$0.72,4.51
2012-06-30,2.87,$0.67,4.29
2012-03-31,2.87,$0.73,3.94
2011-12-31,2.98,$0.84,3.54
2011-09-30,2.74,$1.04,2.63
2011-06-30,3.63,$1.00,3.63
2011-03-31,2.43,$0.70,3.47
2010-12-31,1.73,$0.53,3.27
2010-09-30,1.46,$0.42,3.47
2010-06-30,1.75,$-0.58,0.0
2010-03-31,2.15,$-2.23,0.0
2009-12-31,2.38,$-2.29,0.0
