First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data,First Interstate BancSystem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.63,,13.07
2024-12-31,32.47,$2.19,14.83
2024-09-30,30.2,$2.28,13.25
2024-06-30,26.88,$2.44,11.02
2024-03-31,25.9,$2.51,10.32
2023-12-31,28.74,$2.48,11.59
2023-09-30,22.88,$2.71,8.44
2023-06-30,21.52,$2.81,7.66
2023-03-31,26.44,$2.75,9.61
2022-12-31,33.79,$1.85,18.26
2022-09-30,34.91,$1.86,18.77
2022-06-30,32.64,$1.82,17.94
2022-03-31,31.13,$1.92,16.21
2021-12-31,34.06,$3.11,10.95
2021-09-30,33.39,$3.04,10.99
2021-06-30,34.38,$3.04,11.31
2021-03-31,37.51,$2.93,12.8
2020-12-31,32.9,$2.55,12.9
2020-09-30,25.42,$2.59,9.81
2020-06-30,24.43,$2.59,9.43
2020-03-31,22.52,$2.60,8.66
2019-12-31,31.88,$2.84,11.23
2019-09-30,30.39,$2.71,11.21
2019-06-30,29.67,$2.66,11.15
2019-03-31,29.61,$2.81,10.54
2018-12-31,26.97,$2.77,9.74
2018-09-30,32.84,$2.71,12.12
2018-06-30,30.73,$2.48,12.39
2018-03-31,28.61,$2.19,13.06
2017-12-31,28.77,$2.05,14.03
2017-09-30,27.3,$1.99,13.72
2017-06-30,26.38,$2.07,12.74
2017-03-31,27.94,$2.19,12.76
2016-12-31,29.81,$2.13,14.0
2016-09-30,21.93,$2.09,10.49
2016-06-30,19.41,$1.97,9.85
2016-03-31,19.27,$1.89,10.2
2015-12-31,19.75,$1.90,10.4
2015-09-30,18.78,$1.88,9.99
2015-06-30,18.58,$1.86,9.99
2015-03-31,18.5,$1.84,10.06
2014-12-31,18.35,$1.86,9.87
2014-09-30,17.43,$1.84,9.47
2014-06-30,17.72,$1.96,9.04
2014-03-31,18.28,$1.98,9.23
2013-12-31,18.26,$1.96,9.32
2013-09-30,15.46,$1.86,8.31
2013-06-30,13.19,$1.67,7.9
2013-03-31,11.89,$1.46,8.15
2012-12-31,9.76,$1.26,7.74
2012-09-30,9.3,$1.18,7.89
2012-06-30,8.86,$1.09,8.13
2012-03-31,8.94,$1.02,8.77
2011-12-31,7.97,$0.96,8.3
2011-09-30,6.49,$0.90,7.21
2011-06-30,8.84,$0.82,10.79
2011-03-31,8.1,$0.75,10.8
2010-12-31,9.0,$0.87,10.34
