Verb Technology PE Ratio Historical Data,Verb Technology PE Ratio Historical Data,Verb Technology PE Ratio Historical Data,Verb Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.12,,0.0
2024-09-30,9.56,$-29.82,0.0
2024-06-30,24.8,$-162.00,0.0
2024-03-31,53.0,$-648.00,0.0
2023-12-31,34.42,$-944.00,0.0
2023-09-30,140.04,"$-2,224.00",0.0
2023-06-30,216.0,"$-2,728.00",0.0
2023-03-31,959.2,"$-2,798.00",0.0
2022-12-31,1312.8,"$-3,200.00",0.0
2022-09-30,3760.0,"$-2,480.00",0.0
2022-06-30,4175.2,"$-2,960.00",0.0
2022-03-31,7584.8,"$-3,920.00",0.0
2021-12-31,9920.0,"$-4,480.00",0.0
2021-09-30,15360.0,"$-6,240.00",0.0
2021-06-30,16400.0,"$-6,560.00",0.0
2021-03-31,11200.0,"$-5,920.00",0.0
2020-12-31,13200.0,"$-6,480.00",0.0
2020-09-30,8640.0,"$-6,960.00",0.0
2020-06-30,8880.0,"$-6,560.00",0.0
2020-03-31,10080.0,"$-6,560.00",0.0
