Hydrofarm Holdings PE Ratio Historical Data,Hydrofarm Holdings PE Ratio Historical Data,Hydrofarm Holdings PE Ratio Historical Data,Hydrofarm Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.89,,0.0
2024-12-31,0.58,$-14.60,0.0
2024-09-30,0.69,$-14.10,0.0
2024-06-30,0.69,$-15.60,0.0
2024-03-31,1.08,$-13.30,0.0
2023-12-31,0.92,$-14.20,0.0
2023-09-30,1.22,$-18.70,0.0
2023-06-30,0.78,$-19.50,0.0
2023-03-31,1.73,$-62.00,0.0
2022-12-31,1.55,$-63.50,0.0
2022-09-30,1.94,$-58.20,0.0
2022-06-30,3.48,$-49.30,0.0
2022-03-31,15.15,$-3.50,0.0
2021-12-31,28.29,$1.70,16.64
2021-09-30,37.85,$-0.10,0.0
