Castle Biosciences PE Ratio Historical Data,Castle Biosciences PE Ratio Historical Data,Castle Biosciences PE Ratio Historical Data,Castle Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.07,,32.37
2024-12-31,26.65,$0.62,42.98
2024-09-30,28.52,$0.20,142.6
2024-06-30,21.77,$-0.14,0.0
2024-03-31,22.15,$-1.15,0.0
2023-12-31,21.58,$-2.16,0.0
2023-09-30,16.89,$-2.84,0.0
2023-06-30,13.72,$-3.35,0.0
2023-03-31,22.72,$-2.71,0.0
2022-12-31,23.54,$-2.58,0.0
2022-09-30,26.08,$-2.05,0.0
2022-06-30,21.95,$-1.75,0.0
2022-03-31,44.86,$-2.04,0.0
2021-12-31,42.87,$-1.24,0.0
2021-09-30,66.5,$-1.22,0.0
2021-06-30,73.33,$-0.98,0.0
2021-03-31,68.46,$-0.71,0.0
2020-12-31,67.15,$-0.51,0.0
2020-09-30,51.45,$-0.17,0.0
2020-06-30,37.69,$0.11,342.64
