Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data,Ares Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.73,,8.87
2024-12-31,21.89,$2.45,8.93
2024-09-30,20.49,$2.60,7.88
2024-06-30,19.92,$2.85,6.99
2024-03-31,19.45,$2.92,6.66
2023-12-31,18.27,$2.67,6.84
2023-09-30,17.34,$2.31,7.51
2023-06-30,16.33,$1.65,9.9
2023-03-31,15.48,$1.28,12.09
2022-12-31,15.24,$1.20,12.7
2022-09-30,13.55,$1.69,8.02
2022-06-30,14.06,$2.21,6.36
2022-03-31,16.02,$3.08,5.2
2021-12-31,15.84,$3.52,4.5
2021-09-30,14.89,$3.58,4.16
2021-06-30,14.06,$3.89,3.62
2021-03-31,13.16,$3.45,3.82
2020-12-31,11.63,$1.16,10.03
2020-09-30,9.38,$0.75,12.5
2020-06-30,9.45,$0.12,78.74
2020-03-31,6.86,$-0.06,0.0
2019-12-31,11.56,$1.86,6.21
2019-09-30,11.29,$1.74,6.49
2019-06-30,10.64,$1.82,5.84
2019-03-31,9.93,$1.95,5.09
2018-12-31,8.81,$2.02,4.36
2018-09-30,9.48,$2.20,4.31
2018-06-30,8.88,$2.04,4.35
2018-03-31,8.37,$1.86,4.5
2017-12-31,8.1,$1.57,5.16
2017-09-30,8.24,$1.27,6.49
2017-06-30,8.04,$1.29,6.24
2017-03-31,8.34,$1.37,6.09
2016-12-31,7.75,$1.51,5.13
2016-09-30,7.11,$1.32,5.39
2016-06-30,6.36,$1.34,4.75
2016-03-31,6.47,$1.31,4.94
2015-12-31,6.05,$1.21,5.0
2015-09-30,5.99,$1.65,3.63
2015-06-30,6.64,$1.85,3.59
2015-03-31,6.77,$1.86,3.64
2014-12-31,6.0,$1.93,3.11
2014-09-30,6.06,$1.91,3.17
2014-06-30,6.55,$1.86,3.52
2014-03-31,6.32,$1.88,3.36
2013-12-31,6.22,$1.81,3.44
2013-09-30,5.91,$2.05,2.88
2013-06-30,5.75,$2.12,2.71
2013-03-31,5.92,$2.03,2.91
2012-12-31,5.6,$2.20,2.55
2012-09-30,5.35,$2.07,2.59
2012-06-30,4.86,$1.68,2.89
2012-03-31,4.86,$1.45,3.35
2011-12-31,4.49,$1.57,2.86
2011-09-30,3.91,$1.78,2.2
2011-06-30,4.46,$2.25,1.98
2011-03-31,4.6,$3.80,1.21
2010-12-31,4.38,$3.80,1.15
2010-09-30,4.08,$3.65,1.12
2010-06-30,3.19,$3.59,0.89
2010-03-31,3.68,$2.22,1.66
2009-12-31,3.02,$1.97,1.53
