Airship AI Holdings PE Ratio Historical Data,Airship AI Holdings PE Ratio Historical Data,Airship AI Holdings PE Ratio Historical Data,Airship AI Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.26,,0.0
2024-12-31,6.26,$-2.68,0.0
2024-09-30,2.3,$-0.65,0.0
2024-06-30,3.59,$-0.82,0.0
2024-03-31,6.59,$-1.40,0.0
2023-12-31,1.7,0,0.0
2023-09-30,10.67,0,0.0
2023-06-30,10.76,0,0.0
2023-03-31,10.15,0,0.0
2022-12-31,10.08,0,0.0
2022-09-30,9.9,0,0.0
2022-06-30,9.83,0,0.0
2022-03-31,9.77,0,0.0
