Applied DNA Sciences Inc PE Ratio Historical Data,Applied DNA Sciences Inc PE Ratio Historical Data,Applied DNA Sciences Inc PE Ratio Historical Data,Applied DNA Sciences Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.93,,0.0
2024-12-31,0.2,$-286.00,0.0
2024-09-30,0.65,$-348.00,0.0
2024-06-30,0.41,$-592.00,0.0
2024-03-31,8.2,$-855.50,0.0
2023-12-31,12.34,$-540.00,0.0
2023-09-30,24.2,$-750.00,0.0
2023-06-30,25.8,$-490.00,0.0
2023-03-31,22.6,$-380.00,0.0
2022-12-31,33.2,$-660.00,0.0
2022-09-30,22.6,$-990.00,0.0
2022-06-30,14.76,"$-1,590.00",0.0
2022-03-31,42.8,"$-1,920.00",0.0
2021-12-31,80.4,"$-1,900.00",0.0
2021-09-30,107.8,"$-2,150.00",0.0
2021-06-30,135.8,"$-2,370.00",0.0
2021-03-31,143.8,"$-2,630.00",0.0
2020-12-31,102.0,"$-3,210.00",0.0
2020-09-30,154.6,"$-3,450.00",0.0
2020-06-30,161.4,"$-4,070.00",0.0
2020-03-31,80.4,"$-4,950.00",0.0
2019-12-31,83.8,"$-7,360.00",0.0
2019-09-30,178.8,"$-10,640.00",0.0
2019-06-30,400.0,"$-14,000.00",0.0
2019-03-31,570.0,"$-16,400.00",0.0
2018-12-31,320.0,"$-16,000.00",0.0
2018-09-30,1192.0,"$-16,400.00",0.0
2018-06-30,1008.0,"$-15,600.00",0.0
2018-03-31,1152.0,"$-15,600.00",0.0
2017-12-31,1272.0,"$-18,000.00",0.0
2017-09-30,2296.0,"$-19,600.00",0.0
2017-06-30,1408.0,"$-19,600.00",0.0
2017-03-31,1320.0,"$-21,200.00",0.0
2016-12-31,1480.0,"$-21,600.00",0.0
2016-09-30,2440.0,"$-20,400.00",0.0
2016-06-30,2584.0,"$-17,200.00",0.0
2016-03-31,2752.0,"$-14,800.00",0.0
2015-12-31,2592.0,"$-13,600.00",0.0
2015-09-30,4096.0,"$-28,800.00",0.0
2015-06-30,2480.0,"$-34,400.00",0.0
2015-03-31,2072.0,"$-31,200.00",0.0
2014-12-31,2312.0,"$-26,800.00",0.0
2014-09-30,4320.86,"$-30,352.10",0.0
2014-06-30,5761.15,"$-23,952.10",0.0
2014-03-31,6241.25,"$-23,952.10",0.0
2013-12-31,7681.54,"$-23,952.10",0.0
2013-09-30,4320.86,"$-23,952.10",0.0
2013-06-30,9601.92,"$-23,952.10",0.0
2013-03-31,11042.21,"$-23,952.10",0.0
2012-12-31,10082.02,"$-23,952.10",0.0
2012-09-30,12002.4,0,0.0
2012-06-30,2400.48,"$-23,952.10",0.0
2012-03-31,2880.58,"$-47,904.20",0.0
2011-12-31,2880.58,"$-71,856.30",0.0
2011-09-30,2880.58,"$-71,856.30",0.0
2011-06-30,2880.58,"$-71,856.30",0.0
2011-03-31,2880.58,"$-71,856.30",0.0
2010-12-31,2880.58,"$-71,856.30",0.0
2010-09-30,2400.48,"$-95,808.40",0.0
2010-06-30,2880.58,"$-71,856.30",0.0
2010-03-31,3360.67,"$-71,856.30",0.0
2009-12-31,2880.58,"$47,903.80",0.06
