Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data,Natural Resource Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,108.75,,9.65
2024-12-31,111.0,$11.27,9.85
2024-09-30,97.11,$12.43,7.81
2024-06-30,88.25,$13.34,6.62
2024-03-31,89.82,$13.54,6.63
2023-12-31,87.1,$13.15,6.62
2023-09-30,73.45,$11.97,6.14
2023-06-30,48.55,$12.77,3.8
2023-03-31,47.36,$13.57,3.49
2022-12-31,46.53,$13.24,3.51
2022-09-30,37.27,$12.53,2.97
2022-06-30,30.83,$9.92,3.11
2022-03-31,34.84,$7.19,4.85
2021-12-31,26.92,$4.13,6.52
2021-09-30,18.78,$2.27,8.27
2021-06-30,16.48,$1.15,14.33
2021-03-31,12.24,$-10.05,0.0
2020-12-31,10.17,$-9.58,0.0
2020-09-30,8.56,$-20.23,0.0
2020-06-30,8.42,$-18.55,0.0
2020-03-31,8.43,$-7.04,0.0
2019-12-31,13.59,$-5.81,0.0
2019-09-30,16.82,$6.64,2.53
2019-06-30,23.15,$6.28,3.69
2019-03-31,26.6,$7.16,3.72
2018-12-31,23.95,$6.56,3.65
2018-09-30,19.16,$5.46,3.51
2018-06-30,19.13,$5.23,3.66
2018-03-31,17.25,$4.61,3.74
2017-12-31,15.39,$3.48,4.42
2017-09-30,14.4,$2.50,5.76
2017-06-30,15.77,$3.32,4.75
2017-03-31,20.43,$5.91,3.46
2016-12-31,18.03,$7.77,2.32
2016-09-30,15.35,$5.75,2.67
2016-06-30,7.76,$-44.04,0.0
2016-03-31,3.92,$-45.26,0.0
2015-12-31,6.39,$-45.74,0.0
2015-09-30,12.48,$-43.30,0.0
2015-06-30,17.97,$7.80,2.3
2015-03-31,31.6,$8.10,3.9
2014-12-31,41.46,$9.60,4.32
2014-09-30,56.82,$13.10,4.34
2014-06-30,70.68,$13.10,5.4
2014-03-31,66.43,$14.00,4.74
2013-12-31,81.44,$15.40,5.29
2013-09-30,75.78,$16.80,4.51
2013-06-30,79.65,$18.40,4.33
2013-03-31,88.45,$19.30,4.58
2012-12-31,68.35,$19.70,3.47
2012-09-30,74.48,$12.80,5.82
2012-06-30,77.5,$5.30,14.62
2012-03-31,81.96,$5.50,14.9
2011-12-31,90.79,$5.00,18.16
2011-09-30,83.38,$10.20,8.17
2011-06-30,107.18,$18.00,5.95
2011-03-31,111.45,$17.00,6.56
2010-12-31,103.96,$15.20,6.84
2010-09-30,82.27,$15.20,5.41
2010-06-30,71.09,$13.70,5.19
2010-03-31,77.14,$10.60,7.28
2009-12-31,69.73,$11.50,6.06
