AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data,AGNC Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.29,,10.61
2024-12-31,9.21,$0.97,9.49
2024-09-30,10.2,$1.44,7.08
2024-06-30,8.98,$0.37,24.28
2024-03-31,8.98,$0.91,9.86
2023-12-31,8.57,$0.01,0.0
2023-09-30,7.9,$0.37,21.36
2023-06-30,8.18,$-0.26,0.0
2023-03-31,7.84,$-1.56,0.0
2022-12-31,7.79,$-2.54,0.0
2022-09-30,6.1,$-3.57,0.0
2022-06-30,7.76,$-1.91,0.0
2022-03-31,8.9,$-1.87,0.0
2021-12-31,9.95,$1.19,8.36
2021-09-30,10.2,$2.66,3.83
2021-06-30,10.68,$3.46,3.09
2021-03-31,10.39,$5.53,1.88
2020-12-31,9.46,$-0.70,0.0
2020-09-30,8.23,$-0.51,0.0
2020-06-30,7.44,$-1.69,0.0
2020-03-31,5.94,$-3.78,0.0
2019-12-31,9.61,$1.15,8.36
2019-09-30,8.51,$-2.02,0.0
2019-06-30,8.63,$-1.54,0.0
2019-03-31,8.97,$0.01,0.0
2018-12-31,8.48,$0.60,14.14
2018-09-30,8.83,$3.17,2.79
2018-06-30,8.57,$3.46,2.48
2018-03-31,8.48,$2.81,3.02
2017-12-31,8.79,$1.96,4.48
2017-09-30,9.19,$4.06,2.26
2017-06-30,8.8,$4.84,1.82
2017-03-31,8.01,$4.36,1.84
2016-12-31,7.11,$1.82,3.9
2016-09-30,7.44,$0.46,16.18
2016-06-30,7.34,$-2.90,0.0
2016-03-31,6.68,$-1.04,0.0
2015-12-31,6.01,$0.56,10.74
2015-09-30,6.27,$-2.08,0.0
2015-06-30,5.97,$0.30,19.9
2015-03-31,6.72,$-1.05,0.0
2014-12-31,6.67,$-0.73,0.0
2014-09-30,6.31,$-0.07,0.0
2014-06-30,6.75,$-2.41,0.0
2014-03-31,6.02,$2.12,2.84
2013-12-31,5.25,$3.17,1.66
2013-09-30,5.94,$5.82,1.02
2013-06-30,5.85,$7.87,0.74
2013-03-31,7.96,$2.38,3.34
2012-12-31,6.75,$4.40,1.54
2012-09-30,7.76,$3.02,2.57
2012-06-30,7.28,$4.16,1.75
2012-03-31,6.16,$6.40,0.96
2011-12-31,5.62,$5.22,1.08
2011-09-30,5.17,$6.73,0.77
2011-06-30,5.28,$7.03,0.75
2011-03-31,5.04,$6.90,0.73
2010-12-31,4.74,$7.55,0.63
2010-09-30,4.18,$6.84,0.61
2010-06-30,3.96,$6.97,0.57
2010-03-31,3.65,$7.76,0.47
2009-12-31,3.59,$6.64,0.54
