International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.29,,33.31
2024-12-31,53.82,$1.57,34.28
2024-09-30,48.46,$1.17,41.42
2024-06-30,42.39,$1.22,34.74
2024-03-31,37.93,$0.49,77.42
2023-12-31,34.68,$0.82,42.29
2023-09-30,33.57,$0.74,45.36
2023-06-30,29.71,$2.91,10.21
2023-03-31,33.17,$3.61,9.19
2022-12-31,31.48,$4.07,7.74
2022-09-30,28.45,$5.25,5.42
2022-06-30,37.16,$4.81,7.73
2022-03-31,40.61,$4.52,8.99
2021-12-31,40.93,$4.45,9.2
2021-09-30,48.27,$4.56,10.59
2021-06-30,52.47,$2.88,18.22
2021-03-31,45.9,$2.46,18.66
2020-12-31,41.77,$1.22,34.24
2020-09-30,33.7,$1.25,26.96
2020-06-30,28.86,$1.60,18.04
2020-03-31,25.14,$1.66,15.14
2019-12-31,36.75,$3.07,11.97
2019-09-30,33.0,$3.43,9.62
2019-06-30,34.19,$3.93,8.7
2019-03-31,36.09,$4.17,8.66
2018-12-31,31.16,$4.86,6.41
2018-09-30,37.53,$7.58,4.95
2018-06-30,39.41,$7.16,5.5
2018-03-31,40.08,$6.38,6.28
2017-12-31,43.11,$5.14,8.39
2017-09-30,41.91,$2.17,19.31
2017-06-30,41.39,$1.97,21.01
2017-03-31,36.8,$1.88,19.58
2016-12-31,38.12,$2.19,17.41
2016-09-30,34.13,$2.09,16.33
2016-06-30,29.86,$1.87,15.97
2016-03-31,28.62,$2.31,12.39
2015-12-31,25.95,$2.24,11.58
2015-09-30,25.73,$2.13,12.08
2015-06-30,32.13,$2.43,13.22
2015-03-31,37.18,$2.26,16.45
2014-12-31,35.64,$1.31,27.21
2014-09-30,31.53,$1.97,16.0
2014-06-30,32.62,$1.99,16.39
2014-03-31,29.43,$2.19,13.44
2013-12-31,31.23,$3.11,10.04
2013-09-30,28.31,$2.66,10.64
2013-06-30,27.83,$2.35,11.84
2013-03-31,29.07,$2.09,13.91
2012-12-31,24.69,$1.81,13.64
2012-09-30,22.31,$1.87,11.93
2012-06-30,17.62,$2.52,6.99
2012-03-31,21.21,$2.73,7.77
2011-12-31,17.74,$3.08,5.76
2011-09-30,13.81,$3.22,4.29
2011-06-30,17.53,$2.94,5.96
2011-03-31,17.59,$2.63,6.69
2010-12-31,15.78,$1.47,10.73
2010-09-30,12.54,$0.50,25.08
2010-06-30,12.97,$0.46,28.2
2010-03-31,14.03,$0.57,24.62
2009-12-31,15.25,$1.56,9.78
