European Wax Center PE Ratio Historical Data,European Wax Center PE Ratio Historical Data,European Wax Center PE Ratio Historical Data,European Wax Center PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.01,,22.28
2024-12-31,6.67,$0.18,37.06
2024-09-30,6.8,$0.23,29.57
2024-06-30,9.93,$0.26,38.19
2024-03-31,12.98,$0.25,51.92
2023-12-31,13.59,$0.17,79.94
2023-09-30,16.2,$0.14,115.71
2023-06-30,18.63,$0.16,116.44
2023-03-31,19.0,$0.11,172.73
2022-12-31,12.45,$0.18,69.17
2022-09-30,18.45,$0.23,80.22
2022-06-30,17.62,$-0.03,0.0
