Oncternal Therapeutics PE Ratio Historical Data,Oncternal Therapeutics PE Ratio Historical Data,Oncternal Therapeutics PE Ratio Historical Data,Oncternal Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,1.37,,0.0
2024-09-30,1.32,$-8.83,0.0
2024-06-30,7.6,$-12.23,0.0
2024-03-31,9.0,$-12.34,0.0
2023-12-31,10.72,$-13.51,0.0
2023-09-30,6.0,$-14.40,0.0
2023-06-30,6.9,$-15.20,0.0
2023-03-31,15.7,$-16.80,0.0
2022-12-31,20.0,$-16.80,0.0
2022-09-30,17.83,$-16.00,0.0
2022-06-30,22.2,$-15.60,0.0
2022-03-31,27.8,$-14.20,0.0
2021-12-31,45.4,$-12.60,0.0
2021-09-30,83.4,$-11.20,0.0
2021-06-30,95.0,$-11.80,0.0
2021-03-31,166.4,$-15.40,0.0
2020-12-31,98.0,$-19.20,0.0
2020-09-30,34.0,$-22.80,0.0
2020-06-30,56.8,$-86.00,0.0
2020-03-31,58.6,$-112.79,0.0
2019-12-31,79.0,$-138.78,0.0
2019-06-30,133.2,$-187.96,0.0
2019-03-31,168.0,$-180.55,0.0
2018-12-31,109.2,$-233.73,0.0
2018-09-30,219.8,$-261.72,0.0
2018-06-30,2143.4,$-213.54,0.0
2018-03-31,2485.0,$-227.53,0.0
2017-12-31,1779.4,$-196.74,0.0
2019-09-30,100.0,$-191.15,0.0
2017-09-30,1181.6,$-246.33,0.0
2017-06-30,740.6,$-242.13,0.0
2017-03-31,686.0,$-242.13,0.0
2016-12-31,739.2,$-243.53,0.0
2016-09-30,1096.2,$-237.93,0.0
2016-06-30,770.0,$-643.81,0.0
2015-12-31,980.0,$-615.82,0.0
2015-09-30,1064.0,$-741.78,0.0
2015-06-30,2058.0,$-769.77,0.0
2015-03-31,956.9,$-503.85,0.0
2014-12-31,1022.0,$-671.80,0.0
2014-09-30,1032.5,$-657.80,0.0
2014-06-30,1932.0,$-769.77,0.0
2014-03-31,2142.0,$-839.75,0.0
2013-12-31,2310.0,$-923.72,0.0
2013-09-30,2835.0,$-993.70,0.0
2013-06-30,9240.0,$-629.81,0.0
2013-03-31,5810.0,$-587.82,0.0
2012-12-31,5880.0,$-559.83,0.0
2012-09-30,6412.0,$-559.83,0.0
2012-06-30,4928.0,$-937.72,0.0
2012-03-31,5390.0,$-993.70,0.0
2011-12-31,4704.0,$-811.76,0.0
2011-09-30,4690.0,$-797.76,0.0
2011-06-30,6706.0,$-909.73,0.0
2011-03-31,3598.0,"$-1,105.67",0.0
2010-12-31,3710.0,$671.80,5.52
2010-09-30,4816.0,$475.86,10.12
2010-06-30,4270.0,$307.91,13.87
2010-03-31,4690.0,$363.89,12.89
2009-12-31,5880.0,"$-1,777.47",0.0
2009-09-30,17920.0,"$-1,343.60",0.0
