Kodiak Sciences PE Ratio Historical Data,Kodiak Sciences PE Ratio Historical Data,Kodiak Sciences PE Ratio Historical Data,Kodiak Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.21,,0.0
2024-09-30,2.61,$-3.65,0.0
2024-06-30,2.35,$-3.76,0.0
2024-03-31,5.26,$-4.43,0.0
2023-12-31,3.04,$-4.96,0.0
2023-09-30,1.8,$-5.18,0.0
2023-06-30,6.9,$-5.70,0.0
2023-03-31,6.2,$-5.91,0.0
2022-12-31,7.16,$-6.39,0.0
2022-09-30,7.74,$-6.83,0.0
2022-06-30,7.64,$-6.66,0.0
2022-03-31,7.72,$-6.00,0.0
2021-12-31,84.78,$-5.15,0.0
2021-09-30,95.98,$-4.33,0.0
2021-06-30,93.0,$-3.83,0.0
2021-03-31,113.39,$-3.33,0.0
2020-12-31,146.91,$-2.89,0.0
2020-09-30,59.21,$-2.32,0.0
2020-06-30,54.12,$-1.85,0.0
2020-03-31,47.7,$-1.58,0.0
2019-12-31,71.95,$-1.25,0.0
2019-09-30,14.38,$-1.25,0.0
