MoneyLion PE Ratio Historical Data,MoneyLion PE Ratio Historical Data,MoneyLion PE Ratio Historical Data,MoneyLion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.28,,117.71
2024-12-31,86.01,$0.75,114.68
2024-09-30,41.55,$0.22,188.86
2024-06-30,73.54,$0.07,1050.57
2024-03-31,71.32,$-2.90,0.0
2023-12-31,62.69,$-4.79,0.0
2023-09-30,21.64,$-21.22,0.0
2023-06-30,12.01,$-23.52,0.0
2023-03-31,0.57,$-24.11,0.0
2022-12-31,0.62,$-23.72,0.0
2022-09-30,0.89,$-6.91,0.0
2022-06-30,1.32,$9.61,0.14
2022-03-31,2.51,$12.91,0.19
2021-12-31,4.03,$13.81,0.29
2021-09-30,6.77,$13.81,0.49
2021-06-30,9.95,0,0.0
